[2026-05-21 15:56:53] Method-aligned SEQUENCE simulation started.
[2026-05-21 15:56:53] Repository root: /root/REAPER98632
[2026-05-21 15:56:53] Output directory: /root/REAPER98632/exports/manuscript_final_clean/simulation_validation
[2026-05-21 15:56:53] Simulation started: 320 planned runs
[2026-05-21 16:06:50] Simulation progress: 68/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=8 | timeout=240 sec | elapsed=9.95 min | ETA=36.9 min
[2026-05-21 16:06:57] Simulation progress: 69/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=9 | timeout=240 sec | elapsed=10.1 min | ETA=36.7 min
[2026-05-21 16:07:06] Simulation progress: 70/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=10 | timeout=240 sec | elapsed=10.2 min | ETA=36.5 min
[2026-05-21 16:07:13] Simulation progress: 71/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=11 | timeout=240 sec | elapsed=10.3 min | ETA=36.2 min
[2026-05-21 16:07:21] Simulation progress: 72/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=12 | timeout=240 sec | elapsed=10.5 min | ETA=36 min
[2026-05-21 16:07:27] Simulation progress: 73/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=13 | timeout=240 sec | elapsed=10.6 min | ETA=35.8 min
[2026-05-21 16:07:35] Simulation progress: 74/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=14 | timeout=240 sec | elapsed=10.7 min | ETA=35.6 min
[2026-05-21 16:07:41] Simulation progress: 75/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=15 | timeout=240 sec | elapsed=10.8 min | ETA=35.3 min
[2026-05-21 16:07:48] Simulation progress: 76/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=16 | timeout=240 sec | elapsed=10.9 min | ETA=35.1 min
[2026-05-21 16:07:55] Simulation progress: 77/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=17 | timeout=240 sec | elapsed=11 min | ETA=34.8 min
[2026-05-21 16:08:01] Simulation progress: 78/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=18 | timeout=240 sec | elapsed=11.1 min | ETA=34.6 min
[2026-05-21 16:08:08] Simulation progress: 79/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=19 | timeout=240 sec | elapsed=11.3 min | ETA=34.3 min
