"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_emp_ctrl","alpha_emp_trt","alpha_mu_ctrl","alpha_mu_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"183217",0.00146209713267144,0.00179230890083139,25968,23293,14.2,11.2,9.2,18.2,-0.0247966673279111,0.0558035714285714,-0.352112676056338,0.625,NA,-0.470003629245736,"Dock9"
"183218",0.00293905087142244,0.0103702202411562,19675,2017,45,45.2,326.5,1484.2,0.139012345679012,0.704342548359308,6.25555555555556,31.8362831858407,1.83346995780943,3.46060662004918,"Dock9"
"183318",0.00220548325216358,0.00409495340525426,22961,14403,3.2,1.6,4.2,5.3,0.09765625,1.4453125,0.3125,2.3125,-1.16315080980568,0.838329190404443,"-"
"183362",0.00416117093389585,0,14226,30959,2.4,0,11.3,0,1.54513888888889,NA,3.70833333333333,NA,1.31058253938419,NA,"Zic5"
"183390",0.00672733974843688,0.000125768299754079,7333,29946,9.2,6.2,30.7,20.2,0.254017013232514,0.36420395421436,2.33695652173913,2.25806451612903,0.848849451078623,0.814508037564213,"Ggact"
"183395",0.00292017731860494,0.00441666675999655,19759,13410,16.6,17.2,103.3,63.2,0.31463202206416,0.155489453758789,5.22289156626506,2.67441860465116,1.653051188424,0.983732012669688,"Tmtc4"
"183414",0.00125531060715088,0.00132197269950973,26849,24777,354,319.6,2181.5,15884.3,0.0145831338376584,0.152379734680867,5.16242937853107,48.700563204005,1.64140727849016,3.88569059478564,"Nalcn"
"183575",0.00663030169773448,0.00850175800571727,7494,4155,9,3,26,9,0.209876543209877,0.666666666666667,1.88888888888889,2,0.635988766719997,0.693147180559945,"Itgbl1"
"183582",0.00095362977310551,0.00136765404999778,27941,24651,9,6.8,6,15.7,-0.037037037037037,0.192474048442907,-0.333333333333333,1.30882352941176,NA,0.269128664556033,"Itgbl1"
"183583",0.00810994318260566,0.00839621156997913,4747,4330,5,1.2,19.5,7.2,0.58,4.16666666666667,2.9,5,1.06471073699243,1.6094379124341,"-"
"183587",0.00251123601003034,0.00694440142989261,21525,7018,2.8,0.8,6.7,3.2,0.497448979591837,3.75,1.39285714285714,3,0.331357135954443,1.09861228866811,"Fgf14"
"183624",0.00580290657352907,0.00540231845590365,9420,10969,9,5.4,26,69.8,0.209876543209877,2.20850480109739,1.88888888888889,11.9259259259259,0.635988766719997,2.47871467954008,"Fgf14"
"183715",0.00162655060668305,0,25284,30960,3.8,0,20.2,0,1.13573407202216,NA,4.31578947368421,NA,1.46228026809781,NA,"Fgf14"
"183971",0.000435624616470472,0.0096156337863619,29340,2754,5.8,4.2,21.7,18.2,0.472651605231867,0.793650793650794,2.74137931034483,3.33333333333333,1.00846119167381,1.20397280432594,"Fgf14"
"183977",0.000309490103273542,0.00365047226292832,29653,15860,53.8,49.4,395.2,484.3,0.117950277082959,0.1782114114311,6.3457249070632,8.80364372469636,1.8477813431926,2.17516569540972,"Fgf14"
"183989",0.00613381910571092,0.00214099714241552,8369,22043,762.2,484.6,242573.2,25407.8,0.416234586164248,0.10612971132848,317.25400157439,51.4304581097813,5.7597027198306,3.94023056718992,"Dlg5"
"184016",0.00205944717792592,0.000358967971364606,23548,29111,20.2,23.8,25.7,4.7,0.0134790706793452,-0.0337193701009816,0.272277227722772,-0.802521008403361,-1.30093451216873,NA,"Dlg5"
"184025",0.00501883857906907,0.00511490763358589,11297,11669,7.6,14,15.8,72,0.14196675900277,0.295918367346939,1.07894736842105,4.14285714285714,0.0759859069779223,1.42138568093116,"Kcnma1"
"184261",0.00775856661013808,0.00706162611652507,5287,6738,6.6,2.2,26.3,12.2,0.452249770431589,2.06611570247934,2.98484848484849,4.54545454545454,1.09354898671156,1.51412773262978,"Kcnma1"
"184282",0.00180666223094551,0.0080148215076702,24586,4986,17.2,11.8,196.2,54.2,0.605056787452677,0.304510198218903,10.406976744186,3.59322033898305,2.34247642202135,1.27904883076629,"Kcnma1"
"184311",0.000717456051213105,0.00165666486493328,28616,23752,277.6,270.4,3290.3,8139.3,0.0390946170967287,0.107621899180701,10.8526657060519,29.1009615384615,2.38441073700403,3.37077121619037,"-"
"184357",0.00317250596601298,0.0119616030263901,18704,1006,23,21.2,65,543.7,0.0793950850661626,1.1625578497686,1.82608695652174,24.6462264150943,0.602175402354219,3.204623802161,"Lrmda"
"184369",0.00322194141790196,0.000508867399198172,18472,28012,1.4,2,3.8,3.5,1.22448979591837,0.375,1.71428571428571,0.75,0.538996500732687,-0.287682072451781,"Zfp503"
"184371",0.00544106643584341,5.56323431584549e-05,10197,30256,4.8,1.2,28.7,2.7,1.03732638888889,1.04166666666667,4.97916666666667,1.25,1.60526254102362,0.22314355131421,"Zfp503"
"184373",0.00134057152107459,0.000463545244842051,26396,28191,0.8,0.8,3.2,3.2,3.75,3.75,3,3,1.09861228866811,1.09861228866811,"-"
"184375",0.00259029786276747,0.00335751759078113,21163,17158,38.6,33.4,150.8,389.3,0.0753040350076512,0.319032593495644,2.90673575129534,10.6556886227545,1.06703071661781,2.36609389253349,"Comtd1"
"184378",0.00346029991927209,0.000183636301933877,17365,29700,3.8,3.6,13.2,1.8,0.650969529085872,-0.138888888888889,2.47368421052632,-0.5,0.905708622543618,NA,"Comtd1"
"184393",0.00163408547299097,0.00241895674955898,25253,20911,2.2,0.6,10.2,1.8,1.65289256198347,3.33333333333333,3.63636363636364,2,1.29098418131557,0.693147180559946,"LOC102553460"
"184406",0.00709492185583486,0.00993519233559871,6533,2434,2.2,1.8,10.2,16.2,1.65289256198347,4.44444444444444,3.63636363636364,8,1.29098418131557,2.07944154167984,"Adk"
"184425",0.00312783392093856,0.00691285792527127,18904,7222,59.8,52.4,373.2,1284.3,0.0876388407288509,0.448655381388031,5.24080267558528,23.5095419847328,1.65647466896533,3.15740638064093,"Ap3m1"
"184525",0.00162262446648967,0.00439462812506485,25300,13465,1.8,2.6,6.2,5.8,1.35802469135802,0.473372781065089,2.44444444444444,1.23076923076923,0.893817876022097,0.207639364778244,"Camk2g"
"184526",0.0019284046447142,0.00290369846145455,24050,18886,384.6,309.4,10474.3,11128.3,0.068211828837168,0.113016665071876,26.2342693707748,34.9673561732385,3.26706654734263,3.55441494550746,"Camk2g"
"184534",0.00147168285194181,0.00176955740777342,25924,23374,7.8,8.2,22.7,2.7,0.244904667981591,-0.0817965496728138,1.91025641025641,-0.670731707317073,0.647237479255867,NA,"Ndst2"
"184547",0.00593268304470274,0.00693959492236765,9149,7174,5.6,4.8,29.3,19.7,0.755739795918367,0.646701388888889,4.23214285714286,3.10416666666667,1.44270845039998,1.13274529503757,"Synpo2l"
"184569",0.00206978788153224,0.0161272939087273,23508,120,2.2,8.2,24.2,336.2,4.54545454545454,4.87804878048781,10,40,2.30258509299405,3.68887945411394,"Usp54"
"184585",0.00420112056738458,0.000499492334626311,14068,28034,127.8,94.4,2411.2,616.3,0.139804222658154,0.0585656959207124,17.866979655712,5.52860169491525,2.88295429729879,1.70993492549791,"Usp54"
"184588",0.0085050149588996,0.000399276141119725,4149,28802,2,0.6,8,1.8,1.5,3.33333333333333,3,2,1.09861228866811,0.693147180559946,"Usp54"
"184663",0.00503667505634352,0.0048109705579372,11241,12363,11,14.8,63.5,77.2,0.433884297520661,0.284879474068663,4.77272727272727,4.21621621621622,1.56291789679921,1.43893809460531,"Usp54"
"184667",0.00418297194192153,0.00479390426618458,14140,12405,1.6,3.2,5.3,3.7,1.4453125,0.048828125,2.3125,0.15625,0.838329190404443,-1.85629799036563,"Ppp3cb"
"184692",0.00192434340944149,0.00469745286435163,24065,12672,23,26.4,76.5,260.3,0.101134215500945,0.335600321395776,2.32608695652174,8.85984848484849,0.844187437972811,2.18152966343786,"Ppp3cb"
"184703",0.00219818675279915,0.00839621156997913,22995,4331,2.6,1.2,33.8,7.2,4.61538461538461,4.16666666666667,12,5,2.484906649788,1.6094379124341,"Ppp3cb"
