"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
19923,"244379",0.0048376574995172,85.6,5784.3,85.6,5698.7,0.777728950126649,66.5735981308411,4.46129981556839,8.6481688208586,4.18686900529022,4.21321734656576,0.503198840774319,5784.3,8.66307549653729,4.29456060889261,0,0
19924,"480136",0.00483827853971637,11.8,117.2,11.8,105.4,0.756966388968687,8.93220338983051,2.54944517092557,4.66720557690754,2.11776040598197,2.29578234567129,0.314957026821799,117.2,4.772378104972,4.27944004589878,0,0
19925,"31711",0.00483845862076379,8.4,34.8,8.4,26.4,0.374149659863946,3.14285714285714,2.24070968927596,3.31054301339402,1.06983332411807,1.42138568093116,0.234258457411413,34.8,3.57794789340665,4.27944004589878,0,0
19926,"341751",0.00483890122953926,46.4,465.3,46.4,418.9,0.194569337098692,9.02801724137931,3.85862222870103,6.04001658769015,2.18139435898912,2.30538289961839,0.340138546627997,465.3,6.14482920381428,4.22683374526818,0,0
19927,"403574",0.00483917096356443,4.8,9.7,4.8,4.9,0.212673611111111,1.02083333333333,1.75785791755237,1.77495235091167,0.0170944333593002,0.703509967595492,0.156033227629408,9.7,2.37024374146786,4.18661983833127,0,0
19928,"438792",0.00484032127663902,51.6,535.3,51.6,483.7,0.181667267592092,9.37403100775194,3.96271611974366,6.18353014285133,2.22081402310767,2.33930566491182,0.344776662083908,535.3,6.28469370598888,4.18661983833127,0,0
19929,"186693",0.00484037403486022,18.8,62.7,18.8,43.9,0.124207786328655,2.33510638297872,2.98568193770049,3.80443779474821,0.818755857047719,1.20450457780297,0.228521087507743,62.7,4.15418456257812,4.15418456257812,0,0
19930,"89412",0.0048415735539794,15,67.5,15,52.5,0.233333333333333,3.5,2.77258872223978,3.97968165390196,1.20709293166218,1.50407739677627,0.25200359659308,67.5,4.22683374526818,4.11414718951828,0,0
19931,"53726",0.00484248770329199,21.2,345.7,21.2,324.5,0.722009611961552,15.3066037735849,3.10009228887823,5.78536246164862,2.68527017277039,2.79157016524961,0.365950060774301,345.7,5.84845985269098,4.07414185490458,0,0
19932,"309937",0.0048425255830116,7.8,34.2,7.8,26.4,0.433925049309665,3.38461538461539,2.17475172148416,3.31054301339402,1.13579129190986,1.47810191037301,0.237952661787667,34.2,3.56104608260405,4.07414185490458,0,0
19933,"87267",0.00484463053406887,21.2,219.7,21.2,198.5,0.441660733357067,9.36320754716981,3.10009228887823,5.29581423632992,2.19572194745168,2.3382617977126,0.329082070857478,219.7,5.39680431326269,3.98898404656427,0,0
19934,"355224",0.00484487793038636,5,53,5,48,1.92,9.6,1.79175946922805,3.89182029811063,2.10006082888257,2.36085400111802,0.303724794153774,53,3.98898404656427,3.98898404656427,0,0
19935,"211204",0.00484494730995907,18.8,113.7,18.8,94.9,0.268503847894975,5.04787234042553,2.98568193770049,4.56330598188939,1.5776240441889,1.79970653092059,0.281810072146764,113.7,4.74232002413533,3.93769075217672,0,0
19936,"303910",0.00484554345335835,10.8,34.7,10.8,23.9,0.204903978052126,2.21296296296296,2.46809953147162,3.21486780347066,0.746768271999043,1.16719355282264,0.21539259649978,34.7,3.57515068878559,3.79098467705109,0,0
19937,"408813",0.00484619454671015,15.4,35.8,15.4,20.4,0.0860178782256704,1.32467532467532,2.79728133483015,3.06339092202781,0.266109587197653,0.843580383987071,0.189129900656447,35.8,3.60549784517489,3.64283551561253,0,0
19938,"95246",0.00484637282716906,36.8,389.7,36.8,352.9,0.260588965028355,9.58967391304348,3.63230910262554,5.86901438735142,2.23670528472588,2.35987936716978,0.340590935804053,389.7,5.96794000206102,3.64283551561253,0,0
19939,"316290",0.00484638609336559,5.8,15.7,5.8,9.9,0.294292508917955,1.70689655172414,1.91692261218206,2.3887627892351,0.471840177053037,0.995802794801889,0.188346053317163,15.7,2.81540871942271,3.60549784517489,0,0
19940,"367031",0.00484676335617436,11.2,71.2,11.2,60,0.478316326530612,5.35714285714286,2.50143595173921,4.11087386417331,1.6094379124341,1.84957904011688,0.276742249914465,71.2,4.27944004589878,3.57794789340665,0,0
19941,"342673",0.00484716554437954,8,93.5,8,85.5,1.3359375,10.6875,2.19722457733622,4.46014441393783,2.26291983660161,2.45851989461481,0.320944321682179,93.5,4.5485998344997,3.57515068878559,0,0
19942,"58773",0.00484717873533888,37.4,1270.3,37.4,1232.9,0.881423546569819,32.9652406417112,3.64805745959368,7.11793516390449,3.46987770431081,3.52533766760893,0.434574916080388,1270.3,7.14779527795608,3.56104608260405,0,0
19943,"542067",0.00484975826072462,5.8,15.7,5.8,9.9,0.294292508917955,1.70689655172414,1.91692261218206,2.3887627892351,0.471840177053037,0.995802794801889,0.188346053317163,15.7,2.81540871942271,3.56104608260405,0,0
19944,"113708",0.00485058190066371,77.4,1138.3,77.4,1060.9,0.177089384318517,13.7067183462532,4.36182392735636,6.9678150354098,2.60599110805344,2.68830441973549,0.380264995252118,1138.3,7.03816931770407,3.56104608260405,0,0
19945,"84024",0.00485084468634073,7.6,57.8,7.6,50.2,0.869113573407202,6.60526315789474,2.15176220325946,3.93573953204546,1.783977328786,2.02884052838605,0.284601550768945,57.8,4.07414185490458,3.56104608260405,0,0
19946,"167839",0.00485089784907989,4,8.5,4,4.5,0.28125,1.125,1.6094379124341,1.70474809223843,0.095310179804325,0.75377180237638,0.158615052681961,8.5,2.2512917986065,3.56104608260405,0,0
19947,"379454",0.0048514060815855,125,4013.5,125,3888.5,0.248864,31.108,4.83628190695148,8.26603589364683,3.42975398669535,3.46910522026933,0.450981498506701,4013.5,8.29766808562474,3.57515068878559,0,0
