"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_mu","log_alpha","log_nb1","log_nb2","nb_gap","log_alpha_mu"
"126847","Agfg2",234,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"126861","Irs3",235,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"127000","Znhit1",236,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"128725","Tmem132d",237,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"129198","Mphosph9",238,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"130036","-",239,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"130072","Ptpn11",240,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"130155","Oas1a",241,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"131708","Fbrsl1",242,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"132596","-",243,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"133172","Gli2",244,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"134761","Nfasc",245,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"134762","Nfasc",246,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"135433","Gpr37l1",247,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"135737","Camsap2",248,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"137407","-",249,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"137699","Brinp2",250,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"138398","Prrc2c",251,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"139152","Pbx1",252,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"139405","Atf6",253,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"139457","Fcgr2a",254,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"139563","Usp21",255,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"141415","Fbxo28",256,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"143037","-",257,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"143750","Cntnap5b",258,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"143842","-",259,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"145202","R3hdm1",260,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"145513","-",261,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"145852","Ppp1r15b",262,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"146022","Atp2b4",263,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"146047","-",264,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"146065","Tmem183a",265,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"146357","-",266,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"146713","Kcnt2",267,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"146780","-",268,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"146908","-",269,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"147207","-",270,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"147243","-",271,0,3,0,-0.333333333333333,3,0,-1,0,1.09861228866811,NA,1.38629436111989,0,-1.38629436111989,NA
"148914","Prrc2c",272,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"150667","Smyd3",273,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"150962","Acbd3",274,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"151742","LOC102548492",275,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"151970","Lpgat1",276,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"151971","Lpgat1",277,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"152586","Ccdc18",278,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"152961","Lrrc8b",279,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"153203","Ptpn13",280,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"153497","LOC108352711",281,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"154231","-",282,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"156598","Limch1",283,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"157167","Nwd2",284,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"157905","Tbc1d19",285,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"158108","-",286,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"158196","Pacrgl",287,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
