"bin","percentile","lo_rank","hi_rank","n_bin","total_mean","total_variance","median_abs_loading","iod_agg","cv2_agg","ratio_iod_cv2","ratio_cv2_iod","gap"
78,0.779985515004566,24454,24770,317,22286.2,585498,0.00124273907130124,26.2717735639095,0.00117883594169977,22286.2,4.48708169180928e-05,26.2705947279678
79,0.789999055326385,24771,25088,318,22678,891882.9,0.00117371604229398,39.3281109445277,0.00173419661983101,22678,4.40955992591939e-05,39.3263767479079
80,0.800012595648204,25089,25406,318,2309.8,38428.3,0.0011395769690175,16.6370681444281,0.0072028176224903,2309.8,0.000432937916702745,16.6298653268056
81,0.809994646849513,25407,25723,317,21247,398243.2,0.00109264332323879,18.7435026121335,0.000882171723637854,21247,4.70654680660799e-05,18.7426204404098
82,0.820008187171332,25724,26041,318,25511,839494.3,0.00100487257596155,32.9071498569245,0.00128992002888654,25511,3.91987769981577e-05,32.9058599368956
83,0.829990238372642,26042,26358,317,19888.6,464971.6,0.000923612657041204,23.3787999155295,0.00117548746093388,19888.6,5.02800599338315e-05,23.3776244280686
84,0.840003778694461,26359,26676,318,25673.2,1057180.9,0.000835661847419516,41.1783844631756,0.00160394436467505,25673.2,3.89511241294424e-05,41.1767805188109
85,0.849985829895771,26677,26993,317,20533.8,997216.8,0.000754087791457959,48.564649504719,0.00236510774940435,20533.8,4.8700191878756e-05,48.5622843969696
86,0.85999937021759,26994,27311,318,35528.2,1762122.7,0.000678139997826643,49.5978602912616,0.00139601387886979,35528.2,2.81466553329468e-05,49.5964642773827
87,0.870012910539409,27312,27629,318,32409.4,1415587.4,0.000603932953735901,43.6782970372793,0.00134770458685688,32409.4,3.08552457003215e-05,43.6769493326925
88,0.879994961740719,27630,27946,317,16837.2,211178.5,0.000523615938505413,12.5423764046278,0.000744920557137045,16837.2,5.93922980067945e-05,12.5416314840707
89,0.890008502062537,27947,28264,318,19128.4,631477.8,0.000448699602517542,33.0125781560402,0.00172584106125135,19128.4,5.22782877815186e-05,33.010852314979
90,0.899990553263847,28265,28581,317,23086.8,1079569,0.000385249775101108,46.7613094928704,0.00202545651596888,23086.8,4.3314794601244e-05,46.7592840363544
91,0.910004093585666,28582,28899,318,27825.4,1719367.3,0.000306155114198559,61.791287816168,0.002220679228912,27825.4,3.59383872289347e-05,61.789067136939
92,0.919986144786976,28900,29216,317,19127.4,606421.5,0.000227759878830682,31.7043351422567,0.00165753500958084,19127.4,5.2281020943777e-05,31.7026776072471
93,0.929999685108795,29217,29534,318,15565.2,155267.5,0.000143803810881141,9.97529745843291,0.0006408717818231,15565.2,6.42458818389741e-05,9.97465658665109
94,0.940013225430614,29535,29852,318,25151,638751.5,6.27413958083628e-05,25.3966641485428,0.00100976756982,25151,3.97598505029621e-05,25.395654380973
95,0.949995276631924,29853,30169,317,5729.2,307307.5,0,53.638815192348,0.00936235690713328,5729.2,0.000174544439014173,53.6294528354408
96,0.960008816953743,30170,30487,318,3,0,0,0,0,NA,NA,0
97,0.969990868155052,30488,30804,317,0,0,0,NA,NA,NA,NA,NA
98,0.980004408476871,30805,31122,318,0,0,0,NA,NA,NA,NA,NA
99,0.989986459678181,31123,31439,317,4,0,0,0,0,NA,NA,0
100,1,31440,31757,318,0,0,0,NA,NA,NA,NA,NA
