"feature_id","rank_trt","iod_fitted_trt","cv2_fitted_trt","window_left_trt","window_right_trt","window_n_trt","rank_ctrl","iod_fitted_ctrl","cv2_fitted_ctrl","window_left_ctrl","window_right_ctrl","window_n_ctrl","combined_rank","composite_iod","composite_cv2","regime_difference","local_window_left_rank","local_window_right_rank","local_window_n"
"202579",1242,1.05252997710147,0.0496871455393944,1,3126,3126,787,1.21959138356522,0.506241006557502,1,2581,2581,1014,2.27212136066669,0.555928152096897,1.71619320856979,1,3126,3126
"246177",731,1.15984468364383,0.0759602088539388,1,2615,2615,1310,1.14830924553036,0.472235463292819,1,3104,3104,1020,2.30815392917418,0.548195672146758,1.75995825702742,1,3104,3104
"428544",380,1.31793422808221,0.11637725359863,1,2264,2264,1661,1.09180986971205,0.456729304174839,1,3455,3455,1020,2.40974409779426,0.573106557773469,1.83663754002079,1,3455,3455
"93988",246,1.4395581559431,0.149219662500716,1,2130,2130,1793,1.0732411253656,0.441687347222228,1,3587,3587,1020,2.5127992813087,0.590907009722944,1.92189227158576,1,3587,3587
"321025",589,1.20759673677674,0.0862020072836636,1,2473,2473,1467,1.12197683991093,0.463977542085303,1,3261,3261,1028,2.32957357668766,0.550179549368966,1.7793940273187,1,3261,3261
"110796",1679,0.97637409945915,0.0086790191507049,1,3563,3563,398,1.3118298966275,0.513738557438558,1,2192,2192,1038,2.28820399608665,0.522417576589262,1.76578641949739,1,3563,3563
"306450",894,1.11238221800708,0.0584510994120251,1,2778,2778,1182,1.1695819423353,0.472936961563771,1,2976,2976,1038,2.28196416034238,0.531388060975796,1.75057609936659,1,2976,2976
"83748",595,1.20573583715168,0.0859674009291957,1,2479,2479,1494,1.11748013795665,0.461468499428435,1,3288,3288,1044,2.32321597510833,0.54743590035763,1.7757800747507,1,3288,3288
"315308",1695,0.974808145512995,0.00763353062193772,1,3579,3579,422,1.30062506242859,0.511778841632264,1,2216,2216,1058,2.27543320794159,0.519412372254202,1.75602083568739,1,3579,3579
"208457",1348,1.0319773973348,0.0368266291676491,1,3232,3232,770,1.22161777890835,0.505987388545293,1,2564,2564,1059,2.25359517624315,0.542814017712942,1.71078115853021,1,3232,3232
"313398",1576,0.992024644242377,0.0141870863228206,1,3460,3460,553,1.25579790061965,0.497397572156103,1,2347,2347,1064,2.24782254486203,0.511584658478924,1.73623788638311,1,3460,3460
"531392",1071,1.08235633400591,0.0627505887651409,1,2955,2955,1057,1.19026023461163,0.492404771131078,1,2851,2851,1064,2.27261656861754,0.555155359896219,1.71746120872132,1,2955,2955
"288418",888,1.11415680766933,0.0585390292664556,1,2772,2772,1245,1.15985417899583,0.470079687262114,1,3039,3039,1066,2.27401098666516,0.52861871652857,1.74539227013659,1,3039,3039
"476032",1088,1.08148704005112,0.0632777542404028,1,2972,2972,1045,1.19237448905835,0.492375688624122,1,2839,2839,1066,2.27386152910947,0.555653442864525,1.71820808624494,1,2972,2972
