"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","alpha_gene_wise","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","log_ratio_emp","log_ratio_nb","iod_emp_scaled","cv2_emp_scaled","iod_nb_scaled","cv2_nb_scaled"
0.42,13244,12930,13244,315,9.4,43.2,0.450849479032161,5.03448275862069,0.493055555555556,6.76010260389401,0.546997828940618,4.16326530612245,4.28571428571429,2.24070968927596,2.24070968927596,0.0673669787622745,0.0705630126771066,0.070790153492727,0.0401683868521287
0.43,13560,13245,13560,316,13.6,83.3,0.228002250761353,6.375,0.378027083827181,5.96130048134496,0.300316756107617,5.51074363175124,4.93390143710482,2.60996164956001,2.60996164956001,0.111754966887417,0.0468414608502667,0.0499783985516737,0.0142389850662846
0.44,13875,13561,13875,315,11.2,59.7,0.336546422888689,6,0.419467440154802,7.02869681508345,0.435893265309185,5.21173469387755,5.41240354493756,2.41591377830105,2.41591377830105,0.0993377483443709,0.0553874281710329,0.0777880278649459,0.028489846469784
0.45,14190,13876,14190,315,10,44.7,0.289892584572997,5.21875,0.405982905982906,5.89010805566473,0.407446167464145,4.21380739795918,4.8871177624543,2.30258509299405,2.30258509299405,0.0734685430463576,0.0526066029421734,0.048123572087032,0.025499685039099
0.46,14506,14191,14506,316,5.8,23.05,0.63093399258242,4.69899425287356,0.66611874752279,6.60628064373305,0.863947419648612,3.3645703125,4.65509971231812,1.75785791755237,1.75785791755237,0.0562580878434955,0.106252676426298,0.0667825215034595,0.0734839273958093
0.47,14821,14507,14821,315,6,23,0.658242696923219,4.14516129032258,0.636094674556213,6.12064554470283,0.882694026906743,3.22314049586777,4.02811501444073,1.79175946922805,1.79175946922806,0.0379192480239265,0.100061012812691,0.0541299278429183,0.0754544406019302
0.48,15136,14822,15136,315,8.8,38.5,0.347265086080886,4.33333333333333,0.434443288241415,5.75203322983715,0.470640374001008,3.51562261850328,4.01762877865672,2.17475172148416,2.17475172148416,0.0441501103752759,0.0584757970870032,0.0445262112919925,0.0321422213026787
0.49,15452,15137,15452,316,10.5,42.4,0.305450979370871,5.72275641025641,0.399351851851852,6.37727251649928,0.359519640903962,4.14052868105265,4.84468660826947,2.3509669272102,2.3509669272102,0.0901574970283579,0.0512391250310713,0.0608160112890277,0.0204619812983656
0.5,15767,15453,15767,315,11.4,56.8,0.236075499486331,5.09278350515464,0.369565217391304,5.99926867367983,0.299644899504644,4.41709217952163,5.09504705168025,2.43361335540045,2.43361335540045,0.0692974670581007,0.0450964267713611,0.0509676106382749,0.0141683641645636
0.51,16082,15768,16082,315,8.6,33.3,0.36717777154361,5.51811594202899,0.421006944444444,5.90936004588795,0.455641141918731,3.55208333333333,4.28571428571429,2.15176220325946,2.15176220325946,0.0833813225837412,0.0557049098366212,0.0486251577630623,0.0305656061587848
