"rank","feature_id","mu","empirical_variance.x","log_nb1","log_nb2","log_alpha_mu","nb_gap","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1_spline","d2_spline"
174,"71060",0,0,0,0,0,0,0,0,0,-0.104059029964583,-0.000256897849468586,1.23407359274547e-07
175,"71223",0,0,0,0,0,0,0,0,0,-0.104315865714652,-0.000256773254950283,1.25781677331342e-07
176,"71654",0,0,0,0,0,0,0,0,0,-0.104572575683044,-0.000256646286113923,1.28155995388138e-07
177,"71719",0,0,0,0,0,0,0,0,0,-0.104829157495441,-0.000256516942959507,1.30530313444934e-07
178,"71729",0,0,0,0,0,0,0,0,0,-0.105085608777524,-0.000256385225487033,1.32904631501729e-07
179,"72104",0,0,0,0,0,0,0,0,0,-0.105341927154976,-0.000256251133696503,1.35278949558525e-07
180,"72424",0,0,0,0,0,0,0,0,0,-0.105598110253478,-0.000256114667587916,1.37653267615321e-07
181,"72482",0,0,0,0,0,0,0,0,0,-0.105854155698712,-0.000255975827161273,1.40027585672116e-07
182,"73097",0,0,0,0,0,0,0,0,0,-0.106110061116361,-0.000255834612416572,1.42401903728912e-07
183,"73234",0,0,0,0,0,0,0,0,0,-0.106365824132106,-0.000255691023353815,1.44776221785708e-07
184,"73566",0,0,0,0,0,0,0,0,0,-0.106621442371629,-0.000255545059973001,1.47150539842503e-07
185,"75162",0,0,0,0,0,0,0,0,0,-0.106876913460613,-0.00025539672227413,1.49524857899299e-07
186,"75508",0,0,0,0,0,0,0,0,0,-0.107132235024738,-0.000255246010257202,1.51899175956095e-07
187,"76415",0,0,0,0,0,0,0,0,0,-0.107387404689688,-0.000255092923922217,1.5427349401289e-07
188,"76416",0,0,0,0,0,0,0,0,0,-0.107642420081143,-0.000254937463269176,1.56647812069686e-07
189,"76967",0,0,0,0,0,0,0,0,0,-0.107897278824787,-0.000254779628298078,1.59022130126482e-07
190,"77109",0,0,0,0,0,0,0,0,0,-0.1081519785463,-0.000254619419008923,1.61396448183277e-07
191,"77313",0,0,0,0,0,0,0,0,0,-0.108406516871365,-0.000254456835401712,1.63770766240073e-07
192,"77441",0,0,0,0,0,0,0,0,0,-0.108660891425664,-0.000254291877476443,1.66145084296869e-07
193,"77485",0,0,0,0,0,0,0,0,0,-0.108915099834879,-0.000254124545233118,1.68519402353664e-07
194,"78060",0,0,0,0,0,0,0,0,0,-0.109169139724691,-0.000253954838671736,1.7089372041046e-07
195,"78062",0,0,0,0,0,0,0,0,0,-0.109423008720783,-0.000253782757792297,1.73268038467256e-07
196,"78149",0,0,0,0,0,0,0,0,0,-0.109676704448836,-0.000253608302594801,1.75642356524051e-07
197,"78501",0,0,0,0,0,0,0,0,0,-0.109930224534533,-0.000253431473079249,1.78016674580847e-07
198,"78544",0,0,0,0,0,0,0,0,0,-0.110183566603555,-0.000253252269245639,1.80390992637643e-07
199,"79142",0,0,0,0,0,0,0,0,0,-0.110436728281585,-0.000253070691093973,1.82765310694438e-07
200,"79424",0,0,0,0,0,0,0,0,0,-0.110689707194304,-0.000252886738624251,1.85139628751234e-07
201,"79685",0,0,0,0,0,0,0,0,0,-0.110942500967394,-0.000252700411836471,1.8751394680803e-07
202,"80127",0,0,0,0,0,0,0,0,0,-0.111195107226538,-0.000252511710730635,1.89888264864825e-07
203,"80578",0,0,0,0,0,0,0,0,0,-0.111447523597416,-0.000252320635306741,1.92262582921621e-07
204,"80611",0,0,0,0,0,0,0,0,0,-0.111699747705712,-0.000252127185564791,1.94636900978417e-07
205,"80656",0,0,0,0,0,0,0,0,0,-0.111951777177106,-0.000251931361504785,1.97011219035212e-07
206,"80746",0,0,0,0,0,0,0,0,0,-0.112203609637282,-0.000251733163126721,1.99385537092008e-07
207,"81210",0,0,0,0,0,0,0,0,0,-0.11245524271192,-0.000251532590430601,2.01759855148804e-07
208,"81353",0,0,0,0,0,0,0,0,0,-0.112706674026704,-0.000251329643416423,2.04134173205599e-07
209,"82008",0,0,0,0,0,0,0,0,0,-0.112957901207314,-0.000251124322084189,2.06508491262395e-07
210,"82098",0,0,0,0,0,0,0,0,0,-0.113208921879433,-0.000250916626433899,2.08882809319191e-07
211,"82296",0,0,0,0,0,0,0,0,0,-0.113459733668742,-0.000250706556465551,2.11257127375986e-07
212,"82567",0,0,0,0,0,0,0,0,0,-0.113710334200924,-0.000250494112179147,2.13631445432782e-07
213,"82808",0,0,0,0,0,0,0,0,0,-0.113960721101661,-0.000250279293574685,2.16005763489578e-07
214,"83596",0,0,0,0,0,0,0,0,0,-0.114210891996635,-0.000250062100652167,2.18380081546373e-07
215,"83605",0,0,0,0,0,0,0,0,0,-0.114460844511526,-0.000249842533411593,2.20754399603169e-07
216,"83889",0,0,0,0,0,0,0,0,0,-0.114710576272018,-0.000249620591852961,2.23128717659964e-07
217,"83992",0,0,0,0,0,0,0,0,0,-0.114960084903793,-0.000249396275976273,2.2550303571676e-07
218,"84675",0,0,0,0,0,0,0,0,0,-0.115209368032532,-0.000249169585781528,2.27877353773556e-07
219,"85382",0,0,0,0,0,0,0,0,0,-0.115458423283917,-0.000248940521268726,2.30251671830351e-07
220,"85815",0,0,0,0,0,0,0,0,0,-0.11570724828363,-0.000248709082437867,2.32625989887147e-07
221,"85944",0,0,0,0,0,0,0,0,0,-0.115955840657353,-0.000248475269288951,2.35000307943943e-07
222,"86225",0,0,0,0,0,0,0,0,0,-0.116204198030768,-0.000248239081821979,2.37374626000738e-07
223,"86259",0,0,0,0,0,0,0,0,0,-0.116452318029558,-0.00024800052003695,2.39748944057534e-07
224,"86562",0,0,0,0,0,0,0,0,0,-0.116700198279403,-0.000247759583933864,2.4212326211433e-07
225,"87637",0,0,0,0,0,0,0,0,0,-0.116947836405986,-0.000247516273512721,2.44497580171125e-07
226,"87977",0,0,0,0,0,0,0,0,0,-0.117195230034989,-0.000247270588773522,2.46871898227921e-07
227,"88122",0,0,0,0,0,0,0,0,0,-0.117442376792094,-0.000247022529716265,2.49246216284717e-07
228,"88327",0,0,0,0,0,0,0,0,0,-0.117689274302982,-0.000246772096340952,2.51620534341512e-07
229,"88336",0,0,0,0,0,0,0,0,0,-0.117935920193336,-0.000246519288647582,2.53994852398308e-07
230,"88480",0,0,0,0,0,0,0,0,0,-0.118182312088838,-0.000246264106636156,2.56369170455104e-07
231,"88624",0,0,0,0,0,0,0,0,0,-0.118428447615169,-0.000246006550306672,2.58743488511899e-07
232,"88722",0,0,0,0,0,0,0,0,0,-0.118674324398012,-0.000245746619659132,2.61117806568695e-07
233,"88837",0,0,0,0,0,0,0,0,0,-0.118919940063048,-0.000245484314693535,2.63492124625491e-07
234,"88968",0,0,0,0,0,0,0,0,0,-0.11916529223596,-0.000245219635409881,2.65866442682286e-07
235,"88976",0,0,0,0,0,0,0,0,0,-0.119410378542428,-0.00024495258180817,2.68240760739082e-07
236,"89083",0,0,0,0,0,0,0,0,0,-0.119655196608137,-0.000244683153888403,2.70615078795878e-07
237,"89508",0,0,0,0,0,0,0,0,0,-0.119899744058766,-0.000244411351650578,2.72989396852673e-07
238,"89941",0,0,0,0,0,0,0,0,0,-0.120144018519998,-0.000244137175094697,2.75363714909469e-07
239,"90388",0,0,0,0,0,0,0,0,0,-0.120388017617516,-0.000243860624220759,2.77738032966265e-07
240,"90491",0,0,0,0,0,0,0,0,0,-0.120631738977001,-0.000243581699028765,2.8011235102306e-07
241,"91651",0,0,0,0,0,0,0,0,0,-0.120875180224134,-0.000243300399518713,2.82486669079856e-07
242,"92046",0,0,0,0,0,0,0,0,0,-0.121118338984599,-0.000243016725690605,2.84860987136652e-07
243,"92424",0,0,0,0,0,0,0,0,0,-0.121361212884076,-0.00024273067754444,2.87235305193447e-07
244,"92585",0,0,0,0,0,0,0,0,0,-0.121603799548248,-0.000242442255080218,2.89609623250243e-07
245,"92782",0,0,0,0,0,0,0,0,0,-0.121846096602797,-0.00024215145829794,2.91983941307039e-07
246,"92978",0,0,0,0,0,0,0,0,0,-0.122088101673405,-0.000241858287197604,2.94358259363834e-07
