"feature_id","gene_symbol","rank","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","log_alpha_mu","nb_gap"
"146840","-",338,0,0,0,0,0,NA,0,0,0,NA,0
"146908","-",339,0,0,0,0,0,NA,0,0,0,NA,0
"147207","-",340,0,0,0,0,0,NA,0,0,0,NA,0
"148371","Cop1",341,0,0,0,0,0,NA,0,0,0,NA,0
"148627","Tnr",342,0,0,0,0,0,NA,0,0,0,NA,0
"148914","Prrc2c",343,0,0,0,0,0,NA,0,0,0,NA,0
"149009","Scyl3",344,0,0,0,0,0,NA,0,0,0,NA,0
"149489","-",345,0,0,0,0,0,NA,0,0,0,NA,0
"149557","LOC102549303",346,0,0,0,0,0,NA,0,0,0,NA,0
"151001","Lefty1",347,0,0,0,0,0,NA,0,0,0,NA,0
"151921","Ints7",348,0,0,0,0,0,NA,0,0,0,NA,0
"152586","Ccdc18",349,0,0,0,0,0,NA,0,0,0,NA,0
"152849","-",350,0,0,0,0,0,NA,0,0,0,NA,0
"153146","Ibsp",351,0,0,0,0,0,NA,0,0,0,NA,0
"153755","Anxa3",352,0,0,0,0,0,NA,0,0,0,NA,0
"153852","-",353,0,0,0,0,0,NA,0,0,0,NA,0
"153970","-",354,0,0,0,0,0,NA,0,0,0,NA,0
"155551","Cep135",355,0,0,0,0,0,NA,0,0,0,NA,0
"155812","Usp46",356,0,0,0,0,0,NA,0,0,0,NA,0
"156551","Tmem33",357,0,0,0,0,0,NA,0,0,0,NA,0
"157269","-",358,0,0,0,0,0,NA,0,0,0,NA,0
"157863","Stim2",359,0,0,0,0,0,NA,0,0,0,NA,0
"158112","-",360,0,0,0,0,0,NA,0,0,0,NA,0
"158196","Pacrgl",361,0,0,0,0,0,NA,0,0,0,NA,0
"158333","-",362,0,0,0,0,0,NA,0,0,0,NA,0
"158410","-",363,0,0,0,0,0,NA,0,0,0,NA,0
"158797","Nsg1",364,0,0,0,0,0,NA,0,0,0,NA,0
"158827","Stk32b",365,0,0,0,0,0,NA,0,0,0,NA,0
"159821","Ywhah",366,0,0,0,0,0,NA,0,0,0,NA,0
"160652","Tmed4",367,0,0,0,0,0,NA,0,0,0,NA,0
"160696","-",368,0,0,0,0,0,NA,0,0,0,NA,0
"161126","-",369,0,0,0,0,0,NA,0,0,0,NA,0
"161251","-",370,0,0,0,0,0,NA,0,0,0,NA,0
"161556","-",371,0,0,0,0,0,NA,0,0,0,NA,0
"162189","-",372,0,0,0,0,0,NA,0,0,0,NA,0
"162441","Ccdc88a",373,0,0,0,0,0,NA,0,0,0,NA,0
"163194","Evi5",374,0,0,0,0,0,NA,0,0,0,NA,0
"163463","Zfp326",375,0,0,0,0,0,NA,0,0,0,NA,0
"164178","-",376,0,0,0,0,0,NA,0,0,0,NA,0
"164710","Cxcl10",377,0,0,0,0,0,NA,0,0,0,NA,0
"164871","LOC120093066",378,0,0,0,0,0,NA,0,0,0,NA,0
"165467","-",379,0,0,0,0,0,NA,0,0,0,NA,0
"165513","-",380,0,0,0,0,0,NA,0,0,0,NA,0
"165674","-",381,0,0,0,0,0,NA,0,0,0,NA,0
"165721","Thegl",382,0,0,0,0,0,NA,0,0,0,NA,0
"166995","Apbb2",383,0,0,0,0,0,NA,0,0,0,NA,0
"167271","-",384,0,0,0,0,0,NA,0,0,0,NA,0
"167772","-",385,0,0,0,0,0,NA,0,0,0,NA,0
"167874","Lgi2",386,0,0,0,0,0,NA,0,0,0,NA,0
"168015","Ppargc1a",387,0,0,0,0,0,NA,0,0,0,NA,0
"168937","Kcnip4",388,0,0,0,0,0,NA,0,0,0,NA,0
