"comparison_name","feature_id","gene_symbol","pc1_loading_trt_normalized","pc1_loading_ctrl_normalized","pc1_loading_trt_raw","pc1_loading_ctrl_raw"
"RT0_ZT6","436075","Camk2n1",0.000138314920564735,-2.37473047615403e-05,0.000141767343245782,3.26676232613452e-05
"RT0_ZT6","436077","Camk2n1",0.00294135335544148,-0.0225706290597476,0.00299303061047736,-0.00372095080918133
"RT0_ZT6","436079","Camk2n1",-0.00420988782315046,-0.00402597844787109,-0.000991412752040414,-0.0108240855162716
"RT0_ZT6","436090","LOC120103014",-0.00012768503462322,0.000263728969748512,-9.69852180583533e-05,-1.20194846789843e-05
"RT0_ZT6","436117","Pla2g5",-8.85672496841174e-05,0.000109777656028995,-6.60701200610301e-05,-2.6910761884302e-05
"RT0_ZT6","436119","Pla2g2a",0.000275917717207035,-0.000154041081664196,0.000276099649951036,-0.000123200155109495
"RT0_ZT6","436127","Tmco4",3.99113680953314e-05,-6.00307685582313e-05,3.14835885219258e-05,-0.000109573007097745
"RT0_ZT6","436136","LOC120103015",-1.8795550022291e-05,-4.59775650854038e-05,-7.3719519651897e-06,-8.59837011065352e-05
"RT0_ZT6","436173","Capzb",-1.40966625167183e-05,-0.000361167209971422,-5.52896397389228e-06,-0.000102152740214089
"RT0_ZT6","436174","Capzb",0.000131553040274365,0.000161785769510037,0.000127760153885905,-0.000105923543472456
"RT0_ZT6","436176","Capzb",-0.00249278062610789,0.00100978161944201,-0.000262467338432197,-0.0107417733092629
"RT0_ZT6","436182","Akr7a2",0.000412177240893692,-0.000886850770806184,0.000416829192747226,-0.00040552493541095
"RT0_ZT6","436186","Akr7a3",-0.000129518173233439,5.140179907095e-05,-3.64077349853557e-05,-0.000317227236202925
"RT0_ZT6","43619","Tubgcp5",0.000184174256384111,-0.00019678640603636,0.000178864215440266,4.22774579262485e-05
"RT0_ZT6","43620","Tubgcp5",-0.000173950733607587,-0.000105821701726066,-0.000109552902133002,-4.02649849681581e-05
"RT0_ZT6","436206","Emc1",0,-6.4152528443861e-05,0,-7.18642456864096e-05
"RT0_ZT6","436209","Emc1",0.000208141411081585,-2.62748193225702e-05,0.000221817895077211,-0.000127704448111159
"RT0_ZT6","43621","Tubgcp5",0.000263786263851367,0.000119399329186235,0.000247139640238655,-0.00014507009484529
"RT0_ZT6","436210","Emc1",-0.000117272282903362,0.000348119141409355,-3.09864980019588e-05,-6.87338606932015e-05
"RT0_ZT6","436213","Emc1",-3.67557584160789e-05,-5.594417236946e-05,-2.84595768075484e-05,-7.5058472249853e-05
"RT0_ZT6","43622","Tubgcp5",1.84367849918204e-05,0.00011053514096314,4.07751324890645e-05,-0.000118037636943619
"RT0_ZT6","4363","-",-5.33330117359856e-05,4.21304888445925e-05,-4.95874786746991e-05,-4.52439970540998e-05
"RT0_ZT6","436304","Ubr4",9.16592686427027e-05,8.00626467968786e-05,0.000106839864154229,-2.61774503331502e-05
"RT0_ZT6","436306","Ubr4",0.00163027499570054,-0.000393757807752945,0.00171179799468709,-0.0013177483315101
"RT0_ZT6","436338","-",1.92685660712728e-05,4.14953340038043e-06,8.00482245392799e-05,-0.000251638230773289
"RT0_ZT6","436340","Aldh4a1",-0.00010465754949274,2.03719040979862e-05,-8.80472521437606e-05,-4.37086794733925e-07
"RT0_ZT6","436355","Igsf21",8.81974993347165e-06,-0.00011615030485336,4.16815094623996e-05,2.56590714534203e-05
"RT0_ZT6","436386","Rcc2",-0.000108884320174356,0.000176532828694876,-8.54190074474372e-05,-6.19956403624862e-05
