"feature_id","pc1_loading","pc1_loading_abs","rank","comparison_name","group_label","baseMean","dispGeneEst","dispFit"
"377488",3.65126504821764,3.65126504821764,15942,"RT4_ZT10","control",44.3158289858153,0.119274720037518,0.243574494928514
"351848",-3.65091151753472,3.65091151753472,15943,"RT4_ZT10","control",4.16435439199629,2.4694655607,1.66813778165239
"328502",3.65080507351312,3.65080507351312,15944,"RT4_ZT10","control",36.2491076942613,0.152054743004887,0.276454180906786
"577841",3.65035192009716,3.65035192009716,15945,"RT4_ZT10","control",53.7752604935901,0.112455612006151,0.217584245731922
"302730",3.65020301399265,3.65020301399265,15946,"RT4_ZT10","control",28.3624439052434,0.764815820266949,0.32668140351827
"181745",3.65019661589889,3.65019661589889,15947,"RT4_ZT10","control",39.332170799768,0.144172607691222,0.262295461196093
"459840",-3.65007674848901,3.65007674848901,15948,"RT4_ZT10","control",3.24111933738554,1.4472625130187,2.11601233676308
"556257",-3.65007674848901,3.65007674848901,15949,"RT4_ZT10","control",5.78716585129672,0.32846192621697,1.22723660001762
"230209",-3.65001438344181,3.65001438344181,15950,"RT4_ZT10","control",2.76555747917516,2.88716176091102,2.46340137582559
"70422",-3.65001438344181,3.65001438344181,15951,"RT4_ZT10","control",4.12623988378516,0.653584027485129,1.68266140487083
"418687",3.64976950436854,3.64976950436854,15952,"RT4_ZT10","control",38.3624626933803,0.115646153092124,0.266503438975598
"198723",3.64964248321328,3.64964248321328,15953,"RT4_ZT10","control",40.4540436317428,0.0321289137301805,0.257678878884765
"205611",-3.64947696894051,3.64947696894051,15954,"RT4_ZT10","control",4.56705190824369,1.77075615202545,1.529499831327
"390279",-3.64873383087772,3.64873383087772,15955,"RT4_ZT10","control",3.95424076693388,0.794585253551822,1.7516846608947
"5818",-3.64873383087772,3.64873383087772,15956,"RT4_ZT10","control",4.94190561491727,1.88308035976065,1.42075259655817
"346609",-3.64869200335409,3.64869200335409,15957,"RT4_ZT10","control",4.12028051355171,0.937574064944647,1.68495652761967
"396044",3.64820482816129,3.64820482816129,15958,"RT4_ZT10","control",30.810068898166,0.0631138958782538,0.308341570933081
"400338",3.64816507052217,3.64816507052217,15959,"RT4_ZT10","control",40.2109107581265,0.315916068700067,0.258657522668768
"451425",-3.64782674911539,3.64782674911539,15960,"RT4_ZT10","control",24.2960622253079,2.59336895281795,0.36531947184343
"245748",-3.64769156038192,3.64769156038192,15961,"RT4_ZT10","control",4.9460824969182,1.01418028574452,1.41963371733027
"392670",-3.64769156038192,3.64769156038192,15962,"RT4_ZT10","control",4.82672735001099,2.13910401061568,1.45236882967871
"339566",-3.64761396477291,3.64761396477291,15963,"RT4_ZT10","control",5.65736935066391,0.434446701368348,1.25319448650783
"58748",-3.64736408194392,3.64736408194392,15964,"RT4_ZT10","control",4.82560797959451,0.968866689307455,1.45268350003132
