"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
148,"240818",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
149,"241384",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
150,"244404",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
151,"245046",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
152,"248999",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
153,"253384",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
154,"253668",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
155,"254102",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
156,"254747",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
157,"255516",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
158,"258449",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
159,"259682",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
160,"263321",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
161,"264175",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
162,"266766",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
163,"268168",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
164,"268523",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
165,"271734",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
166,"272030",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
167,"272032",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
168,"272923",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
169,"273517",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
170,"276997",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
171,"277440",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
172,"280767",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
173,"281904",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
174,"282994",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
175,"283189",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
176,"287721",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
177,"289718",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
178,"291395",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
179,"293108",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
180,"293745",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
181,"300214",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
182,"301552",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
183,"301942",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
184,"302565",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
185,"304391",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
186,"306174",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
187,"307948",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
188,"308614",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
189,"313849",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
190,"314148",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
191,"314423",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
192,"314966",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
193,"316181",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
194,"323477",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
195,"325069",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
196,"326011",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
197,"327631",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
198,"329507",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
199,"329629",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
200,"330409",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
201,"331087",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
202,"333697",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
203,"336490",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
204,"337169",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
205,"337203",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
206,"337732",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
207,"342283",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
208,"342515",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
209,"342983",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
210,"344588",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
211,"345116",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
212,"346010",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
213,"348696",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
214,"348814",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
215,"350519",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
216,"352240",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
217,"353201",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
218,"353305",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
219,"353693",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
220,"357633",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
221,"364996",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
222,"365592",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
223,"365984",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
224,"366035",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
225,"368651",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
226,"369101",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
