"feature_id","pc1_loading","pc1_loading_abs","baseMean","dispGeneEst","gene_symbol","rank"
"97541",-0.0114484908111813,0.0114484908111813,3.07842917127629,1.79683664642902,"C1qtnf1",1957
"479978",-0.0114448471864097,0.0114448471864097,6.49733705271818,1.33655509680023,"-",1958
"80345",0.0114438457996712,0.0114438457996712,8.13853667141559,1.49277381069682,"Mrpl38",1959
"447331",0.0114436649188084,0.0114436649188084,6.77147773766053,1.1694104344796,"LOC120103569",1960
"122090",-0.0114375940093725,0.0114375940093725,3.36929746556852,2.21591563866214,"Tmem120b",1961
"172949",-0.0114246027988709,0.0114246027988709,2.03579169668694,5.77462951515885,"LOC100909672",1962
"418890",-0.0114246027988709,0.0114246027988709,2.03579169668694,5.77462951515885,"Rere",1963
"552307",-0.0114246027988709,0.0114246027988709,2.03579169668694,5.77462951515885,"Ttll4",1964
"560208",-0.0114246027988709,0.0114246027988709,2.03579169668694,5.77462951515885,"Dmd",1965
"84540",-0.0114246027988709,0.0114246027988709,2.03579169668694,5.77462951515885,"Tenm2",1966
"418117",-0.0114184641084541,0.0114184641084541,3.20518392396685,2.00750108155413,"-",1967
"370805",-0.011418403744069,0.011418403744069,15.7044673148637,0.760874120435275,"Grid2",1968
"75698",0.0114178302415259,0.0114178302415259,3.40194659292732,8.38562424966066,"Hlf",1969
"237180",-0.011414204787143,0.011414204787143,11.2816981289042,1.42144287788722,"Htr4",1970
"105933",0.0114102376158478,0.0114102376158478,10.4928317119143,1.42499527032485,"LOC102552404",1971
"291450",-0.0114101902721282,0.0114101902721282,30.0263384874958,0.742650007429469,"-",1972
"326528",-0.0114070708005591,0.0114070708005591,2.88407362655907,1.63899662720766,"-",1973
"356560",-0.0114070708005591,0.0114070708005591,2.88407362655907,1.63899662720766,"LOC102553281",1974
"545942",-0.0114070708005591,0.0114070708005591,2.88407362655907,1.63899662720766,"Mad2l1bp",1975
"469491",0.0114069792494884,0.0114069792494884,4.1628129048896,2.74067644614377,"-",1976
"203884",0.011403227983168,0.011403227983168,8.55407027380954,1.38657462137756,"Nt5dc2",1977
"220392",0.0114023839308056,0.0114023839308056,2.57700579552007,1.95667318135349,"Frmd4a",1978
"512839",0.0114023839308056,0.0114023839308056,2.57700579552007,1.95667318135349,"Pxylp1",1979
"160596",-0.0113884845088715,0.0113884845088715,2.19664627931197,6.44372018901604,"-",1980
"22837",-0.0113884845088715,0.0113884845088715,2.19664627931197,6.44372018901604,"Cpxm2",1981
"304969",-0.0113884845088715,0.0113884845088715,2.19664627931197,6.44372018901604,"-",1982
"31923",-0.0113884845088715,0.0113884845088715,2.19664627931197,6.44372018901604,"Lrp11",1983
"366001",-0.0113884845088715,0.0113884845088715,2.19664627931197,6.44372018901604,"LOC102550644",1984
"547928",-0.0113884845088715,0.0113884845088715,2.19664627931197,6.44372018901604,"Ankrd23",1985
"463463",-0.0113872356113201,0.0113872356113201,14.5285858442717,1.46835664675077,"Lin52",1986
"228044",-0.0113857530175566,0.0113857530175566,2.33317790893244,1.29304046949052,"Wac",1987
"530082",-0.0113847625123441,0.0113847625123441,13.2155680925643,1.08255369600749,"Cspg5",1988
"276831",-0.0113843375796336,0.0113843375796336,1.94120786052137,5.53981723275696,"Pmf1",1989
"303556",-0.0113843375796336,0.0113843375796336,1.94120786052137,5.53981723275696,"-",1990
"410636",-0.0113843375796336,0.0113843375796336,1.94120786052137,5.53981723275696,"Slc24a2",1991
"557505",-0.0113843375796336,0.0113843375796336,1.94120786052137,5.53981723275696,"RGD1564613",1992
"573187",-0.0113843375796336,0.0113843375796336,1.94120786052137,5.53981723275696,"-",1993
"494737",-0.0113770440978319,0.0113770440978319,3.01082837924964,1.87555104404192,"H3f3c",1994
"387136",0.0113747589153797,0.0113747589153797,7.72629270836019,1.46529681531188,"Exoc4",1995
"287091",-0.0113731978506502,0.0113731978506502,2.36534882545744,1.42137399357837,"RGD1566212",1996
"380548",-0.0113731978506502,0.0113731978506502,2.36534882545744,1.42137399357837,"-",1997
"395023",-0.0113731978506502,0.0113731978506502,2.36534882545744,1.42137399357837,"Slc25a26",1998
