"percentile","center_rank_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","window_n_trt","center_rank_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","window_n_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","regime_difference","local_window_n"
0.47,14761,0.201294513155267,0.140451335443297,159,14058,0.423860382276943,0.209560423929789,151,14410,0.62515489543221,0.350011759373086,0.275143136059124,159
0.475,14918,0.17736780053952,0.109839517319013,159,14208,0.310979306819328,0.272983660689521,151,14563,0.488347107358847,0.382823178008534,0.105523929350313,159
0.48,15075,0.400244095344262,0.070510311686504,159,14357,0.316165738601883,0.10169175230907,151,14716,0.716409833946145,0.172202063995574,0.544207769950571,159
0.485,15232,0.137306568523607,0.199988349211422,159,14507,0.199131986890498,0.720098510293477,151,14870,0.336438555414105,0.920086859504899,-0.583648304090794,159
0.49,15389,0.722570327114116,0.22072302746448,159,14656,2.7709466910009e-15,2.77776892427649e-15,151,15022,0.722570327114119,0.220723027464482,0.501847299649636,159
0.495,15546,0.612470587412549,0.208118106825896,159,14806,0.219650773894281,0.795959247154896,151,15176,0.83212136130683,1.00407735398079,-0.171955992673962,159
0.5,15703,0.247457206960722,0.459219392868173,159,14956,0.350994037454923,0.135044368321533,151,15330,0.598451244415645,0.594263761189706,0.00418748322593909,159
0.505,15860,0.18691806499657,0.0581146844634582,159,15105,0.192487057492848,0.28082534210615,151,15482,0.379405122489417,0.338940026569609,0.0404650959198087,159
0.51,16017,0.181621859142711,0.32442208180276,159,15255,0.190466694654127,0.322138112917813,151,15636,0.372088553796838,0.646560194720573,-0.274471640923736,159
0.515,16174,0.262110153220205,0.0992335444282013,159,15404,0.343242133034414,0.133716044465315,151,15789,0.605352286254619,0.232949588893516,0.372402697361103,159
0.52,16331,0.151256990514788,0.281419199349777,159,15554,0.259511448300248,0.202716587072201,151,15942,0.410768438815036,0.484135786421978,-0.0733673476069415,159
0.525,16488,0.352017176790435,0.270428710166959,159,15703,0.534439076744374,0.149686879581896,151,16096,0.886456253534809,0.420115589748854,0.466340663785955,159
0.53,16645,0.47584925915077,0.514447743100496,159,15853,0.251063278103613,0.131349041704608,151,16249,0.726912537254382,0.645796784805104,0.0811157524492783,159
0.535,16802,1,0.691371852736528,159,16002,0.24916293640421,0.204999622731808,151,16402,1.24916293640421,0.896371475468337,0.352791460935874,159
0.54,16959,0.264554048726719,0.268581042290775,159,16152,0.196182858614697,0.558930435194134,151,16556,0.460736907341416,0.827511477484909,-0.366774570143494,159
0.545,17116,0.296965706558632,0.115994878186223,159,16301,0.180770315107171,0.634231708610021,151,16708,0.477736021665803,0.750226586796244,-0.272490565130441,159
0.55,17273,0.752908685400685,0.191582274509029,159,16451,0.307992592904484,0.187198351599145,151,16862,1.06090127830517,0.378780626108175,0.682120652196995,159
