"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
11963,"35160",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11964,"59297",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11965,"62091",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11966,"76091",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11967,"91618",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11968,"108572",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11969,"117656",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11970,"118114",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11971,"123638",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11972,"125226",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11973,"126242",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11974,"131032",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11975,"137601",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11976,"141592",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11977,"146022",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11978,"154407",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11979,"161771",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11980,"178465",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11981,"180078",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11982,"180834",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11983,"181320",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11984,"205303",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11985,"242111",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11986,"259682",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11987,"269687",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11988,"273247",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11989,"276732",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11990,"278644",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11991,"326626",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11992,"341364",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11993,"358485",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11994,"366035",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11995,"369013",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11996,"371110",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11997,"376195",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11998,"400474",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11999,"402340",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
12000,"403160",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
