"rank","feature_id","mu","empirical_variance.x","log_nb1","log_nb2","log_alpha_mu","nb_gap","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1_spline","d2_spline"
26528,"391824",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27799158331404,-6.86048490403783e-05,2.01113974183773e-06
26529,"392670",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27792398211326,-6.65994741211122e-05,1.99961009669511e-06
26530,"397465",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27785838052258,-6.46056288469888e-05,1.98808045155249e-06
26531,"407865",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27779476701235,-6.2623313218008e-05,1.97655080640987e-06
26532,"410666",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27773313005293,-6.06525272341699e-05,1.96502116126725e-06
26533,"414566",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27767345811467,-5.86932708954743e-05,1.95349151612463e-06
26534,"418145",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27761573966792,-5.67455442019214e-05,1.94196187098201e-06
26535,"418302",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27755996318305,-5.48093471535111e-05,1.9304322258394e-06
26536,"422312",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.2775061171304,-5.28846797502434e-05,1.91890258069678e-06
26537,"437002",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27745418998033,-5.09715419921183e-05,1.90737293555416e-06
26538,"438377",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.2774041702032,-4.90699338791358e-05,1.89584329041154e-06
26539,"438549",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27735604626936,-4.7179855411296e-05,1.88431364526892e-06
26540,"451062",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27730980664916,-4.53013065885987e-05,1.8727840001263e-06
26541,"453658",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27726543981297,-4.34342874110441e-05,1.86125435498368e-06
26542,"455393",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27722293423113,-4.15787978786321e-05,1.84972470984106e-06
26543,"457449",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27718227837399,-3.97348379913628e-05,1.83819506469844e-06
26544,"466672",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27714346071193,-3.79024077492295e-05,1.82666541955578e-06
26545,"482156",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27710646971528,-3.60815071522454e-05,1.81513577441316e-06
26546,"486117",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27707129385441,-3.42721362004039e-05,1.80360612927054e-06
26547,"493766",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27703792159967,-3.24742948937051e-05,1.79207648412792e-06
26548,"496877",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27700634142141,-3.06879832321488e-05,1.7805468389853e-06
26549,"503588",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27697654178999,-2.89132012157352e-05,1.76901719384268e-06
