"percentile","center_rank_trt","iod_amplitude_trt","cv2_amplitude_trt","iod_center_trt","cv2_center_trt","local_fourier_score_trt","center_rank_ctrl","iod_amplitude_ctrl","cv2_amplitude_ctrl","iod_center_ctrl","cv2_center_ctrl","local_fourier_score_ctrl","combined_center_rank","combined_iod_amplitude","combined_cv2_amplitude","combined_center_distance","combined_center_agreement","combined_fourier_score","regime_difference","regime_direction"
0.69,21323,0.241209635072189,0.560729930971098,21323,21323,2.26928353151928,21401,0.0970246287308539,0.22340880032868,21401,21401,1.54898662974875,21362,0.338234263803043,0.784138731299778,0,1,2.34719266912953,-0.445904467496735,"CV2_dominant"
0.7,21632,0.0412568740726711,0.0552368769018014,21186,22200,0.08553179942133,21711,0.276986125589026,0.225853052071297,21711,21711,2.01618474254847,21672,0.318242999661697,0.281089928973099,507,0.00196850393700787,0.611121742115826,0.0371530706885979,"IOD_dominant"
0.71,21941,0.0351845371488445,0.0541644838090439,21984,22205,0.0748887278236272,22021,0.145356232896089,0.303863639616653,22056.5,22021,0.842784965613401,21981,0.180540770044934,0.358028123425697,92.75,0.0106666666666667,0.56948534226214,-0.177487353380763,"CV2_dominant"
0.72,22250,0.0430063015920602,0.0751211785913625,22738,22569.5,0.124435728504983,22332,0.148723539317065,0.17008985554755,22120.5,21625.5,0.589814706408,22291,0.191729840909125,0.245211034138912,331.75,0.00300525920360631,0.414478716724779,-0.0534811932297871,"CV2_dominant"
0.73,22559,0.0380555318286854,0.0786194070422573,22704.5,22449,0.117568953373516,22642,0.161154005418486,0.184174859800354,22059.5,23143.5,0.645567530315463,22600,0.199209537247171,0.262794266842611,414.25,0.00240818783865141,0.447541182316187,-0.0635847295954396,"CV2_dominant"
0.74,22868,0.0517523140319905,0.12389402231155,22868,22868,1.21109450630507,22952,0.130066903149528,0.237270432815107,22780,23208.5,0.660783646097314,22910,0.181819217181519,0.361164455126657,214.25,0.00464576074332172,0.569403710533254,-0.179345237945138,"CV2_dominant"
0.75,23177,0.0441742441733794,0.0657147043129036,23045.5,23079.5,0.135144051563652,23262,0.137239428758281,0.443505770509519,22401.5,23262,1.04228510196928,23220,0.181413672931661,0.509220474822423,447.25,0.00223089793641941,0.776914135471672,-0.327806801890762,"CV2_dominant"
0.76,23486,0.0501645271173112,0.061475989293367,23104,23145.5,0.135980280931965,23572,0.130589790850055,0.4307006487456,22822.5,23572,1.00273876245338,23529,0.180754317967366,0.492176638038967,395.5,0.00252206809583859,0.75222056978251,-0.311422320071601,"CV2_dominant"
0.77,23795,0.0376561803508298,0.0436969190405581,23294.5,25098,0.0600425517770181,23882,0.130415467013096,0.244348757969046,24563.5,24298,0.675604873473245,23838,0.168071647363926,0.288045677009604,769,0.0012987012987013,0.446210438225332,-0.119974029645679,"CV2_dominant"
0.78,24104,0.0413899060133076,0.0939553059162038,24104,24104,1.14397908864503,24192,0.13525406855461,0.243570524160186,22842,24821,0.683428618645834,24148,0.176643974567918,0.337525830076389,989.5,0.00100959111559818,0.526175017075917,-0.160881855508471,"CV2_dominant"
0.79,24413,0.0288013387813282,0.0342095387553689,23964,23747,0.0313171170424203,24503,0.145395048982205,0.290954840585233,24503,24950.5,0.794919708004945,24458,0.174196387763533,0.325164379340602,115.25,0.00860215053763441,0.513363279348358,-0.150967991577068,"CV2_dominant"
0.8,24722,0.0494036954368109,0.0588939551509114,24722,24722,1.10693659172693,24813,0.0949810035508924,0.262599447913693,25476.5,24963,0.614886187315926,24768,0.144384698987703,0.321493403064604,256.75,0.00387972841901067,0.468857092242618,-0.177108704076901,"CV2_dominant"
0.81,25031,0.0782977142604633,0.0395865840468757,25031,25918,0.138155075227674,25123,0.233256813414447,0.45353870263547,23707.5,25123,1.30651653399475,25077,0.31155452767491,0.493125286682346,1151.25,0.000867867216315904,0.903579303010226,-0.181570759007436,"CV2_dominant"
0.82,25340,0.0404586375839126,0.0591583803207008,25228.5,25340,0.0977808414536986,25433,0.0674935293267042,0.257721650886853,25350,25326.5,0.574443567772142,25386,0.107952166910617,0.316880031207554,44,0.0222222222222222,0.438399656960587,-0.208927864296937,"CV2_dominant"
0.83,25649,0.0326610579952894,0.119889855093072,25390.5,25649,0.169455484082582,25743,0.10635141250873,0.599403175389685,25743,25743,2.23699832520158,25696,0.139012470504019,0.719293030482757,129.25,0.00767754318618042,1.03172027177137,-0.580280559978737,"CV2_dominant"
0.84,25959,0.0430253399684354,0.0500039240104485,25959,25952.5,0.213531805184723,26053,0.0419379021380371,0.101724297390639,26227.5,26053,0.198095266676029,26006,0.0849632421064725,0.151728221401087,90.5,0.0109289617486339,0.165760830194577,-0.0667649792946146,"CV2_dominant"
0.85,26268,0.0442812733954691,0.067403795223632,26607,26770.5,0.115453164852393,26364,0.045149654693928,0.064323767347069,25714,26088,0.137273985416033,26316,0.0894309280893971,0.131727562570701,268.75,0.00370713623725672,0.135297349349404,-0.0422966344813039,"CV2_dominant"
0.86,26577,0.0447416557911547,0.0538427390741969,26618,25848,0.0909006398112332,26674,0.0452737453015677,0.0863668572385872,27100,26983.5,0.182366171634168,26626,0.0900154010927224,0.140209596312784,443.25,0.00225098480585256,0.14657232694517,-0.0501941952200617,"CV2_dominant"
0.87,26886,0.0445482081609734,0.0550213924180782,26867.5,26981,0.099739145171333,26984,0.054336080295328,0.077734865465498,26984,26753.5,0.186240078556874,26935,0.0988842884563015,0.132756257883576,58.5,0.0168067226890756,0.160820083509294,-0.0338719694272747,"CV2_dominant"
0.88,27195,0.0456004299449152,0.0476148687733982,26677.5,27873,0.0826949614980287,27294,0.057316063616963,0.151065877923016,26124.5,27294,0.319945320258826,27244,0.102916493561878,0.198680746696415,1182.5,0.000844951415293621,0.243215940506373,-0.0957642531345364,"CV2_dominant"
