"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
263,"98062",0,0,0,0,0,0,0,0,-0.126155213616517,3.3472166632936e-07
264,"98747",0,0,0,0,0,0,0,0,-0.126391556967793,3.37095984386156e-07
265,"99255",0,0,0,0,0,0,0,0,-0.126627563223085,3.39470302442952e-07
266,"99665",0,0,0,0,0,0,0,0,-0.126863230008075,3.41844620499747e-07
267,"99942",0,0,0,0,0,0,0,0,-0.127098554948444,3.44218938556543e-07
268,"100675",0,0,0,0,0,0,0,0,-0.127333535669874,3.46593256613339e-07
269,"101373",0,0,0,0,0,0,0,0,-0.127568169798048,3.48967574670134e-07
270,"101706",0,0,0,0,0,0,0,0,-0.127802454958647,3.5134189272693e-07
271,"102694",0,0,0,0,0,0,0,0,-0.128036388777354,3.53716210783726e-07
272,"102882",0,0,0,0,0,0,0,0,-0.12826996887985,3.56090528840521e-07
273,"103239",0,0,0,0,0,0,0,0,-0.128503192891816,3.58464846897317e-07
274,"103397",0,0,0,0,0,0,0,0,-0.128736058438936,3.60839164954113e-07
275,"103403",0,0,0,0,0,0,0,0,-0.128968563146891,3.63213483010908e-07
276,"104046",0,0,0,0,0,0,0,0,-0.129200704641363,3.65587801067704e-07
277,"104291",0,0,0,0,0,0,0,0,-0.129432480548034,3.679621191245e-07
278,"104828",0,0,0,0,0,0,0,0,-0.129663888492586,3.70336437181295e-07
279,"106953",0,0,0,0,0,0,0,0,-0.129894926100701,3.72710755238091e-07
280,"107036",0,0,0,0,0,0,0,0,-0.13012559099806,3.75085073294887e-07
281,"108572",0,0,0,0,0,0,0,0,-0.130355880810346,3.77459391351682e-07
282,"108727",0,0,0,0,0,0,0,0,-0.130585793163241,3.79833709408478e-07
283,"108741",0,0,0,0,0,0,0,0,-0.130815325682426,3.82208027465274e-07
284,"109194",0,0,0,0,0,0,0,0,-0.131044475993584,3.84582345522069e-07
285,"109875",0,0,0,0,0,0,0,0,-0.131273241722397,3.86956663578865e-07
286,"109923",0,0,0,0,0,0,0,0,-0.131501620494545,3.89330981635661e-07
287,"110705",0,0,0,0,0,0,0,0,-0.131729609935712,3.91705299692456e-07
288,"110970",0,0,0,0,0,0,0,0,-0.13195720767158,3.94079617749252e-07
289,"111314",0,0,0,0,0,0,0,0,-0.132184411327829,3.96453935806048e-07
290,"111535",0,0,0,0,0,0,0,0,-0.132411218530143,3.98828253862843e-07
291,"112606",0,0,0,0,0,0,0,0,-0.132637626904203,4.01202571919639e-07
292,"113059",0,0,0,0,0,0,0,0,-0.132863634075691,4.03576889976435e-07
293,"113093",0,0,0,0,0,0,0,0,-0.133089237670289,4.0595120803323e-07
294,"113838",0,0,0,0,0,0,0,0,-0.13331443531368,4.08325526090026e-07
295,"114907",0,0,0,0,0,0,0,0,-0.133539224631544,4.10699844146822e-07
296,"114932",0,0,0,0,0,0,0,0,-0.133763603249563,4.13074162203617e-07
297,"115442",0,0,0,0,0,0,0,0,-0.133987568793421,4.15448480260413e-07
298,"116994",0,0,0,0,0,0,0,0,-0.134211118888798,4.17822798317208e-07
299,"117146",0,0,0,0,0,0,0,0,-0.134434251161378,4.20197116374004e-07
300,"117432",0,0,0,0,0,0,0,0,-0.13465696323684,4.225714344308e-07
301,"117645",0,0,0,0,0,0,0,0,-0.134879252740868,4.24945752487596e-07
302,"117972",0,0,0,0,0,0,0,0,-0.135101117299144,4.27320070544391e-07
303,"118133",0,0,0,0,0,0,0,0,-0.135322554537349,4.29694388601187e-07
304,"118444",0,0,0,0,0,0,0,0,-0.135543562081166,4.32068706657982e-07
305,"118832",0,0,0,0,0,0,0,0,-0.135764137556276,4.34443024714778e-07
306,"119572",0,0,0,0,0,0,0,0,-0.135984278588361,4.36817342771574e-07
307,"119681",0,0,0,0,0,0,0,0,-0.136203982803104,4.3919166082837e-07
308,"119699",0,0,0,0,0,0,0,0,-0.136423247826185,4.41565978885165e-07
309,"119825",0,0,0,0,0,0,0,0,-0.136642071283288,4.43940296941961e-07
310,"119928",0,0,0,0,0,0,0,0,-0.136860450388794,4.48782417018766e-07
311,"120566",0,0,0,0,0,0,0,0,-0.137078380711882,4.53624537095572e-07
312,"121116",0,0,0,0,0,0,0,0,-0.137295857410434,4.58466657172377e-07
313,"121323",0,0,0,0,0,0,0,0,-0.137512875642328,4.63308777249183e-07
314,"121375",0,0,0,0,0,0,0,0,-0.137729430565445,4.68150897325988e-07
315,"121426",0,0,0,0,0,0,0,0,-0.137945517337664,4.72993017402794e-07
316,"121469",0,0,0,0,0,0,0,0,-0.138161131116867,4.778351374796e-07
317,"121589",0,0,0,0,0,0,0,0,-0.138376267060931,4.82677257556405e-07
318,"122430",0,0,0,0,0,0,0,0,-0.138590920327739,4.8751937763321e-07
