"feature_id","gene_symbol","rank","mu","variance","iod_emp","cv2_emp","iod_nb_gw","cv2_nb_gw","iod_nb_fit","cv2_nb_fit","iod_nb_final","cv2_nb_final","alpha_gene_wise","alpha_fitted","alpha_final","diff_emp","diff_nb_gw","diff_nb_fit","diff_nb_final"
"540887","Serpine2",8987,334.343226373306,8100.1368886948,50.9053551991647,0.321386165527699,54.9036714238105,0.328509952136128,39.6459604930504,0.237240204599958,49.3818102466903,0.295478858687537,0.158231623226432,0.112596749458347,0.141716076502136,50.583969033637,54.5751614716744,39.4087202884504,49.0863313880028
"480552","Lynx1",8988,12.0932849784071,46.0626551386084,7.53533132678996,1.41981924114012,17.0826771208604,2.87540647633356,17.3473093869447,2.91917163469324,17.2158590684795,2.89743224482523,1.24719438496578,1.26907696414562,1.25820726921161,6.11551208564984,14.2072706445268,14.4281377522515,14.3184268236542
"481590","Ankrd54",8989,2.31688446596639,4.61819401779058,NA,NA,NA,NA,NA,NA,NA,NA,5.44000080901656,6.33213023145438,6.0598515906764,NA,NA,NA,NA
"225562","Rpp40",8989,38.3501006440685,311.189692874086,17.6957886655455,1.01421908177664,17.6443577017921,0.921723997598085,19.1641958979291,1.0009852339762,18.1683130360434,0.94904884553599,0.407935244994246,0.447565863183305,0.421597668963199,16.6815695837689,16.722633704194,18.1632106639529,17.2192641905074
"494622","Med30",8990,2.31688446596639,4.61819401779058,NA,NA,NA,NA,NA,NA,NA,NA,5.44000080901656,6.33213023145438,6.0598515906764,NA,NA,NA,NA
"115503","Acap2",8991,59.9442422226833,336.151448617956,11.8760859025899,0.422012079882095,12.414005563814,0.414780671981824,20.6584404799857,0.689850790828102,15.2332998892001,0.508844562719251,0.17372820437245,0.311263263795589,0.220760149741164,11.4540738227078,11.9992248918321,19.9685896891576,14.7244553264809
"155551","Cep135",8992,1.87124990341001,6.57697397079856,NA,NA,NA,NA,NA,NA,NA,NA,10,7.82363578280829,10,NA,NA,NA,NA
"245908","Minar2",8992,247.39872550687,6090.4800965385,42.7327558864265,0.301429028100309,34.6377852772651,0.280487682489519,33.6296829352545,0.272338066197478,34.2907742549356,0.277682405125067,0.131923821395591,0.12784901324957,0.130521182713365,42.4313268583262,34.3572975947755,33.357344869057,34.0130918498106
"190828","Tdrd3",8993,4.47525423733784,15.8143321716326,7.06211580737413,3.24056326774093,15.281100968424,6.85377648332427,16.8201663597796,7.54158786106225,16.0930321860733,7.21663015580401,2.96767518985122,3.31158087872021,3.14910202609109,3.8215525396332,8.42732448509978,9.27857849871734,8.87640203026931
"150992","Sde2",8993,26.3653833027886,127.412368987642,8.17404264839627,0.528755943660006,7.39336427935696,0.567364711793954,18.3348923162382,1.3973566683853,10.8936108997312,0.832883068206703,0.204562331501796,0.619558309797472,0.337321509708171,7.64528670473627,6.825999567563,16.9375356478529,10.0607278315245
