"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","combined_rank","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_gene_wise","iod_emp_ctrl","iod_emp_trt","cv2_emp_ctrl","cv2_emp_trt","iod_nb_ctrl","iod_nb_trt","cv2_nb_ctrl","cv2_nb_trt","diff_emp_ctrl","diff_emp_trt","diff_nb_ctrl","diff_nb_trt","gene_symbol"
"539347",0.00837482564539456,0.0041360796113334,4422,14274,4422,1.2,2.4,7.2,4.8,4.36867003788329,6,2,5,0.833333333333333,6.24240404545994,11.4848080909199,5.20200337121662,4.78533670454995,1,1.16666666666667,1.04040067424332,6.69947138636993,"Ccnyl1"
"427801",0.00297140708687491,0.00839426565415004,19544,4422,4422,5.2,2.8,32.7,16.7,3.97913116053153,6.28846153846154,5.96428571428571,1.20931952662722,2.13010204081633,21.691482034764,12.1415672494883,4.17143885283923,4.33627401767439,5.07914201183432,3.83418367346939,17.5200431819248,7.8052932318139,"-"
"375828",0.000774815252058915,0.00839272451910253,28424,4423,4423,12.2,6.4,81.7,59.3,1.27019896722818,6.69672131147541,9.265625,0.548911582907821,1.44775390625,16.4964274001838,9.12927339026033,1.35216618034293,1.42644896722818,6.14780972856759,7.81787109375,15.1442612198408,7.70282442303215,"-"
"223457",0.00167761125486824,0.00839183750735947,25075,4424,4424,48.2,54.8,109.7,2676.7,0.214748051174585,2.27593360995851,48.8448905109489,0.0472185396256951,0.891330118812936,11.350856066615,12.7681932043672,0.23549493914139,0.232996226357067,2.22871507033281,47.953560392136,11.1153611274736,12.5351969780102,"Ddx41"
"559239",0.00837482564539456,0.000399276141119725,4425,28966,4425,1.2,0.6,7.2,1.8,10,6,3,5,5,13,7,10.8333333333333,11.6666666666667,1,-2,2.16666666666667,-4.66666666666667,"Ap1s2"
"195914",0,0.00839102511921562,31050,4425,4425,0,3.4,0,16.8,5.02118005635093,NA,4.94117647058824,NA,1.45328719723183,NA,18.0720121915931,NA,5.31529770340975,NA,3.4878892733564,NA,12.7567144881834,"Nrg3"
"565774",0.00837482564539456,0.0059815818114122,4426,9626,4426,1.2,0.6,7.2,1.8,10,6,3,5,5,13,7,10.8333333333333,11.6666666666667,1,-2,2.16666666666667,-4.66666666666667,"-"
"464433",0.000575358823654295,0.00839102511921562,28988,4426,4426,10,3.4,21,16.8,0.410503743428814,2.1,4.94117647058824,0.21,1.45328719723183,5.10503743428814,2.39571272765797,0.510503743428814,0.704621390487637,1.89,3.4878892733564,4.59453369085932,1.69109133717033,"Nrxn3"
"566228",0.00837482564539456,0.00591731270768987,4427,9804,4427,1.2,2.6,7.2,2.3,1.88581559869408,6,0.884615384615384,5,0.340236686390533,3.2629787184329,5.90312055660461,2.71914893202742,2.27043098330947,1,0.544378698224852,0.543829786405483,3.63268957329515,"-"
"298819",0.00619610243670665,0.00839094672943387,8223,4427,4427,8,8.8,36,58.7,0.859628314252122,4.5,6.67045454545454,0.5625,0.758006198347107,7.87702651401698,8.56472916541868,0.984628314252122,0.973264677888486,3.9375,5.91244834710744,6.89239819976485,7.59146448753019,"LOC365821"
"568517",0.00837482564539456,0.00241895674955898,4428,21030,4428,1.2,0.6,7.2,1.8,10,6,3,5,5,13,7,10.8333333333333,11.6666666666667,1,-2,2.16666666666667,-4.66666666666667,"-"
"471362",0.0061484917281506,0.00839055037221954,8327,4428,4428,14.4,9.4,278.8,178.3,1.86482546646523,19.3611111111111,18.968085106383,1.34452160493827,2.01788139429606,27.8534867170993,18.5293593847731,1.93426991090967,1.97120844518863,18.0165895061728,16.9502037120869,25.9192168061896,16.5581509395845,"Hsp90b1"
"577794",0.00837482564539456,0.000128856254004341,4429,29934,4429,1.2,1.4,7.2,3.8,8.21290432275589,6,2.71428571428571,5,1.93877551020408,10.8554851873071,12.4980660518582,9.04623765608923,8.9271900370416,1,0.775510204081633,1.80924753121784,3.57087601481664,"Aff2"
