"feature_id","gene_symbol","rank","abs_loading","mu","alpha","alpha_mu","log_alpha_mu","log_mu","log_alpha"
"495092","Ndufb9",21219,0.00237980811809123,1172,0.0623657740050696,73.0926871339416,4.29172832254411,7.06646697013696,-2.77473864759285
"390518","Ppm1k",21220,0.00237973464843288,31.8,0.122441638669963,3.89364410970483,1.35934550824447,3.45946628978613,-2.10012078154166
"341518","Usp20",21221,0.00237927047761025,5.4,0.164656732752796,0.889146356865097,-0.117493426124038,1.68639895357023,-1.80389237969427
"56207","Ovol1",21222,0.0023787748728347,3.6,0.930497523315561,3.34979108393602,1.20889798088815,1.28093384546206,-0.0720358645739151
"541689","Ncl",21223,0.00237870271597984,29,1e-08,2.9e-07,-15.0533849139659,3.36729582998647,-18.4206807439524
"259134","Cyb5b",21224,0.00237841217758829,47.2,0.0422696240355688,1.99512625447885,0.690707333792444,3.85439389259151,-3.16368655879907
"555266","-",21225,0.00237824158956716,25,1.11525956972171,27.8814892430426,3.32796300064373,3.2188758248682,0.109087175775529
"255364","-",21226,0.00237823855141269,31.2,0.201676951716183,6.29232089354491,1.8393299841411,3.44041809481544,-1.60108811067434
"331125","Arl14ep",21227,0.00237753579274372,22.6,0.473502446902373,10.7011552999936,2.37035170760133,3.11794990627824,-0.747598198676912
"381509","-",21228,0.00237735598886632,10.2,0.331195787857895,3.37819703615053,1.21734214591796,2.32238772029023,-1.10504557437227
"41095","Hspb6",21229,0.00237728603521201,15.8,0.175224877189053,2.76855305958704,1.01832482256121,2.76000994003292,-1.74168511747171
"150941","Parp1",21230,0.002377211282741,101.8,0.0096709819980893,0.984505967405491,-0.0156153195648102,4.62301010411642,-4.63862542368123
"433665","Lsm10",21231,0.00237663790677926,43.4,1e-08,4.34e-07,-14.650221302846,3.77045944110636,-18.4206807439524
"230152","Stam",21232,0.0023764595010053,4.6,0.829381426128872,3.81515456019281,1.33898117772777,1.52605630349505,-0.187075125767284
"145061","-",21233,0.00237617046690366,5.6,0.0908658030914468,0.508848497312102,-0.675604954454379,1.7227665977411,-2.39837155219548
"187314","Cmtm5",21234,0.00237508861481109,234.8,0.257892599259784,60.5531823061973,4.10352202528522,5.45873408795394,-1.35521206266872
"441929","Lratd1",21235,0.00237484264111114,16.6,0.375740706092457,6.23729572113478,1.83054671042267,2.8094026953625,-0.978855984939829
"470342","Akap8l",21236,0.00237461698562805,33.6,0.145762393693537,4.89761642810285,1.58874864352037,3.51452606696916,-1.92577742344879
"65320","Atp6v0c",21237,0.00237446886428286,2177.2,0.119502110025401,260.179993947302,5.56137367590991,7.68579492656005,-2.12442125065013
"276928","Syt11",21238,0.00237406895252603,26.8,0.0239393714591005,0.641575155103893,-0.443828946521414,3.28840188751681,-3.73223083403822
"552533","Slc4a3",21239,0.0023739760965164,9.6,0.217062136479802,2.0837965102061,0.734191475268611,2.26176309847379,-1.52757162320518
"10008","Mag",21240,0.00237363459520286,2.2,3.23908704737676,7.12599150422887,1.96374887496133,0.78845736036427,1.17529151459706
"533501","Trerf1",21241,0.00237363459520286,2.2,3.54314062764621,7.79490938082165,2.05347087714668,0.78845736036427,1.26501351678241
"411744","Pde4b",21242,0.00237333236709231,16.6,0.03219350681966,0.534412213206356,-0.626587802967042,2.8094026953625,-3.43599049832954
"126707","Zscan21",21243,0.00237328885454471,18.8,1e-08,1.88e-07,-15.4868238741165,2.9338568698359,-18.4206807439524
"264829","Utp15",21244,0.00237324876735921,8.4,0.14550936063865,1.22227862936466,0.20071684569557,2.12823170584927,-1.9275148601537
"323518","Strbp",21245,0.00237296871437978,37,0.0144426176878904,0.534376854451946,-0.626653968977702,3.61091791264422,-4.23757188162193
"516869","-",21246,0.00237294908887578,5.6,0.171058633264981,0.957928346283893,-0.0429822989193292,1.7227665977411,-1.76574889666043
"208297","Trappc11",21247,0.00237270744219296,5.4,2.58841509615255,13.9774415192238,2.63744470998745,1.68639895357023,0.951045756417217
"127311","Tmem120a",21248,0.00237258963474494,33,0.093354533225807,3.08069959645163,1.12515671289779,3.49650756146648,-2.37135084856869
"66602","Fbll1",21249,0.00237257767868134,182.8,0.0381570433615348,6.97510752648856,1.94234774357263,5.20839265902005,-3.26604491544742
"366481","-",21250,0.0023724986912508,97.4,0.582556730537059,56.7410255543095,4.0384975038439,4.57882621064849,-0.540328706804594
"572387","Nlgn3",21251,0.00237224615898594,16.8,0.083156074589613,1.3970220531055,0.33434286619568,2.82137888640921,-2.48703602021353
"372414","Ankrd53",21252,0.00237188263203101,17.4,0.148783998398695,2.5888415721373,0.951210506211574,2.85647020622048,-1.90525970000891
"423441","Epha7",21253,0.00237128460170968,16,0.0135820082183878,0.217312131494205,-1.52642056495686,2.77258872223978,-4.29900928719664
"338601","B4galt5",21254,0.0023710838956089,163.2,0.0215832605075311,3.52238811482908,1.25913920128527,5.09497644253001,-3.83583724124474
"123483","Rplp0",21255,0.00237096023396155,43.8,0.285167636669533,12.4903424861255,2.52495574458825,3.7796338173824,-1.25467807279415
"358812","Pcif1",21256,0.00237031567048669,4.8,0.0933631102731496,0.448142929311118,-0.802643058808269,1.56861591791385,-2.37125897672211
"314921","Cd99",21257,0.00237004934143852,17.2,0.755555842356605,12.9955604885336,2.5646077982548,2.84490938381941,-0.280301585564607
"306711","RGD1560065",21258,0.00236985939474844,41.2,0.242685423005961,9.99863942784561,2.30244902652198,3.71843825635548,-1.4159892298335
"246438","Apcdd1",21259,0.00236969408439949,98.8,0.127761849731993,12.6228707535209,2.53551030775141,4.59309760475382,-2.05758729700241
"482064","Slc25a17",21260,0.00236965583436286,203.4,0.0346522622235235,7.04827013626468,1.95278221597325,5.31517448361446,-3.36239226764121
"83582","Nthl1",21261,0.00236964602583376,5.4,0.405139090441584,2.18775108838455,0.782874115924048,1.68639895357023,-0.903524837646181
"12327","LOC100911716",21262,0.00236956945169929,57.4,0.0380374293116907,2.18334844249105,0.780859681180013,4.05004430332552,-3.26918462214551
