"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","alpha_gene_wise","alpha_mu_ctrl","alpha_mu_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"108653",0.00713548040682199,0.00143900421356833,6158,28808,1.8,2.4,3.59050618701038,6.46291113661869,8.61721484882492,1.8660798566301,2.15376192908188,"-"
"108654",0.00352634206427938,0.00565545405219692,14704,11463,35.4,83.8,0.0235544785895903,0.833828542071497,1.97386530580767,-0.18172748280506,0.679993704543249,"-"
"108673",0.00130006140781915,0.00537084485851914,24394,12725,48.4,123.8,0.0150444477225217,0.728151269770049,1.86250262804818,-0.317246464224747,0.621921082303163,"Snap29"
"108699",0.0043409713722032,0.00312065874752983,11932,23410,0.8,2.4,5.29697405402361,4.23757924321889,12.7127377296567,1.44399217299635,2.54260446166446,"Pi4ka"
"108707",0.00647191059321789,0.00751635381222122,7192,5256,4.8,15.2,0.689221810662971,3.30826469118226,10.4761715220772,1.19642378943264,2.34910329937103,"Hic2"
"108709",0.00268565001733535,0.0049619378196066,17914,14690,1.6,1.8,4.20920122282724,6.73472195652358,7.57656220108903,1.90727652564319,2.02505956129958,"Hic2"
"108710",0.00331572258011545,0.00412173415124921,15539,19005,2,23.6,1.03772713079324,2.07545426158648,24.4903602867205,0.730180050969399,3.19827958244102,"Hic2"
"108727",0,0.00203429231703888,30258,27214,0,4.4,5.79244444171341,0,25.486755543539,NA,3.23815892678499,"Ube2l3"
"108730",0.00231329301131148,0.00610015661894598,19481,9654,1.2,10.2,1.69771032408051,2.03725238889661,17.3166453056212,0.711602031825975,2.85166819532225,"Ube2l3"
"108739",0.00450807533150536,0.004770412880784,11457,15678,201,412.6,0.0301480919974493,6.05976649148731,12.4391027581476,1.80167126658095,2.52084495915902,"Ydjc"
"108741",0,0.00378244797550546,30259,20658,0,3.2,1e-08,0,3.2e-08,NA,-17.2575299341467,"Ppil2"
"108745",0.00165532135486785,0.00195811070359681,22367,27514,0.8,8.4,0.414806401090319,0.331845120872255,3.48437376915868,-1.10308692230903,1.24828833485445,"Ypel1"
"108759",0.00566174550969664,0.00492492073840972,8712,14884,115.6,301,0.0817902914751442,9.45495769452667,24.6188777340184,2.24653922769816,3.20351353620875,"Mapk1"
"108767",0.00186963038973159,0.00497149766965514,21457,14634,51.8,132.6,0.0100461485666997,0.520390495755045,1.33211929994438,-0.653175795855982,0.286771132630343,"Mapk1"
"108768",0.00373910921855122,0.00566010450735719,13763,11440,0.6,2.8,8.58070842028957,5.14842505217374,24.0259835768108,1.63869085279277,3.17913589373992,"Mapk1"
"108775",0.00807148636341135,0.0090558667272798,4956,2456,28.2,71.6,0.527097041767874,14.864136577854,37.7401481905798,2.6989513705286,3.63072446655113,"Mapk1"
"108817",0.00280024874107122,0.00562604805146985,17430,11583,87.4,236,0.0122270179589939,1.06864136961607,2.88557623832256,0.0663880936383897,1.05972461600251,"Ppm1f"
"108842",0.00378001233839035,0.00011681016295101,13575,31202,17.4,42.2,0.310781705964906,5.40760168378937,13.114987991719,1.68780568288268,2.57375569770416,"Top3b"
"108864",0.00591430148952688,0.00727506100333792,8330,5877,15.2,39.2,0.233142231699432,3.54376192183136,9.13917548261773,1.26518885267348,2.21257017161767,"Yars2"
"108869",0.0047597049286246,0.00108343823425225,10857,29520,2,6.6,2.30578165152896,4.61156330305792,15.2181589000911,1.52856691081571,2.72248937928814,"Pkp2"
"108917",0.010133760394709,0.00816608761113187,2689,3894,8.2,10.2,0.920180847439094,7.54548294900057,9.38584464387876,2.02094909931652,2.23920266533654,"Prkdc"
"108957",0.0071039471870866,0.00156752050003881,6249,28545,4.6,8.2,0.920795163519001,4.2356577521874,7.55052034085581,1.4435386294296,2.02161648020476,"-"
"108964",0.0050199433258805,0.0129273617296542,10042,115,2.4,12.8,2.06503838860101,4.95609213264242,26.4324913740929,1.60061755371566,3.27459398728733,"Efcab1"
"109009",0.00735463039514402,0.00555846687334111,5850,11877,3,2.8,6.06711004007523,18.2013301202257,16.9879081122106,2.90149467494116,2.83250180345421,"Pros1"
"109011",0.00593743033102806,0.00624642513338413,8282,9069,6.6,15.4,0.313058110453307,2.06618352899182,4.82109490098092,0.72570319975872,1.57300106014592,"Pros1"
"109045",0,0.00179920363288899,30260,27896,0,4.2,5.70446963788441,0,23.9587724791145,NA,3.17633453984446,"Epha3"
"109051",0.00696102832323499,0.0070304676490918,6441,6543,0.8,2.6,2.20078479121337,1.7606278329707,5.72204045715476,0.565670468718243,1.74432546505989,"-"
"109076",0.0153654668398631,0.0133402014883733,356,75,10.8,32.6,1.36948879429718,14.7904789784095,44.645334694088,2.69398366148632,3.7987498157288,"Zfp654"
"109085",0.00367245469090692,0.00103145539380989,14252,29611,18.2,42,0.255083269568954,4.64251550615496,10.7134973218961,1.5352563542833,2.37150437848391,"Cggbp1"
"109109",0.0141442660019577,0.00180453158890821,603,27885,7,23.6,2.14351823081481,15.0046276157037,50.5870302472296,2.70835866123707,3.92369522421332,"Chmp2b"
"109136",0.0135063906282845,0.00198346923388687,777,27340,4,3.6,1.40138878652119,5.60555514608476,5.04499963147628,1.72375809641608,1.61839758075825,"-"
"109143",0.00758067845059442,0.0070881991643118,5583,6381,3.6,2.6,1.22867103088485,4.42321571118546,3.19454468030061,1.48686696803054,1.16144456759592,"-"
"109148",0.00308070980366307,0.00948761346549896,16433,1927,4.2,5.6,0.909195535747193,3.81862125013821,5.09149500018428,1.33988942818464,1.62757150063642,"-"
"109149",0.0111086635089944,0.00469936950925412,1942,16016,11.6,10.8,0.604173437769728,7.00841187812884,6.52507312791306,1.9471111244711,1.87565216048895,"LOC108348040"
"109152",0.0011395769690175,0.00907033471263496,25177,2438,0.6,4.6,2.6208303142007,1.57249818852042,12.0558194453232,0.452665557617499,2.48954748487854,"-"
"109155",0.0116015243179631,0.00682590539889597,1638,7135,2.2,7,5.51095507382177,12.1241011624079,38.5766855167524,2.49519530314028,3.65264809183133,"-"
"109157",0.00368862415562202,0.00171555324872391,14148,28180,65.2,56.2,0.214645150853911,13.994863835675,12.0630574779898,2.63869039342205,2.49014768138909,"-"
"109194",0.00142581620723974,0.000638075759202187,23556,30296,0.6,1.6,8.5512239419659,5.13073436517954,13.6819583071454,1.63524880004466,2.61607805305639,"Cadm2"
"109269",0.0135854456962501,0.00827861117142044,745,3673,4.6,10.8,1.42533027024697,6.55651924313605,15.3935669186672,1.88045985895583,2.73394968959096,"-"
"109270",0.00271371945649492,0.00954205302386065,17808,1861,3,14.4,9.18730169569731,27.5619050870919,132.297144418041,3.31643456883233,4.88505048674618,"-"
"109329",0.0114601119915521,0.0057648437407542,1737,11019,3.4,3.6,6.65654827168214,22.6322641237193,23.9635737780557,3.11937650429699,3.17653491813694,"-"
"109365",0.00159137053425797,0.0045215397435996,22791,16927,35,61.2,0.0205762549406141,0.720168922921492,1.25926680236558,-0.328269479321131,0.230529648707736,"Gbe1"
"109405",0.00250548738952408,0.00997730610271547,18714,1466,5,6.4,0.433163466039773,2.16581733019886,2.77224618265455,0.772797809934152,1.01965788786568,"-"
