"rank","feature_id","mu","empirical_variance","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","combined_nb_support","abs_pc1_loading"
282,"125629",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
283,"126007",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
284,"126179",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
285,"126373",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
286,"126708",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
287,"126847",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
288,"127387",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
289,"127425",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
290,"128246",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
291,"128348",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
292,"128844",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
293,"129341",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
294,"129533",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
295,"129702",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
296,"130718",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
297,"131542",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
298,"131708",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
299,"132596",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
300,"132609",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
301,"133172",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
302,"133345",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
303,"133439",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
304,"135103",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
305,"135257",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
306,"135737",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
307,"135829",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
308,"135879",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
309,"136094",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
310,"136201",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
311,"136381",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
312,"136414",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
313,"138049",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
314,"138432",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
315,"139459",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
316,"139554",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
317,"139563",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
318,"139647",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
319,"139974",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
320,"140336",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
321,"140530",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
322,"140798",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
323,"140819",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
324,"141064",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
325,"141144",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
326,"141631",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
327,"143061",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
328,"143842",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
329,"144207",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
330,"144395",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
331,"144485",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
332,"145491",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
333,"146294",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
334,"146409",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
335,"146456",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
336,"146643",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
337,"146713",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
338,"146840",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
339,"146908",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
340,"147207",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
341,"148371",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
342,"148627",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
343,"148914",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
344,"149009",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
