"rank","feature_id","gene_symbol","region","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","nb_support","var_fit","d1","d2"
161,"74404","Dusp14","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.200128730917525,0.000243015132298509,3.01591353149249e-07
162,"74809","Rps6kb1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.199885564034716,0.000243319588152296,3.07320354425096e-07
163,"75099","Trim37","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.199642089831553,0.000243629773007359,3.13049355700942e-07
164,"75822","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.199398302579034,0.000243945686863698,3.18778356976789e-07
165,"76416","LOC108352124","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.199154196548159,0.000244267329721313,3.24507358252636e-07
166,"76972","Nr1d1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.198909766009925,0.000244594701580203,3.30236359528482e-07
167,"77549","Becn1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.198665005235331,0.00024492780244037,3.35965360804329e-07
168,"78431","Cdc27","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.198419908495377,0.000245266632301812,3.41694362080176e-07
169,"78496","LOC303590","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.19817447006106,0.00024561119116453,3.47423363356022e-07
170,"78634","Ddx42","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.197928684203381,0.000245961479028524,3.53152364631869e-07
171,"78860","Bptf","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.197682545193336,0.000246317495893794,3.58881365907716e-07
172,"79142","Pitpnc1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.197436047301926,0.000246679241760339,3.64610367183562e-07
173,"79918","Sdk2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.197189184800148,0.000247046716628161,3.70339368459409e-07
174,"79977","Sdk2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.196941951959003,0.000247419920497258,3.76068369735256e-07
175,"80255","Tsen54","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.196694343049487,0.000247798853367631,3.81797371011102e-07
176,"80350","Fbf1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.1964463523426,0.00024818351523928,3.87526372286949e-07
177,"80542","Prpsap1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.196197974109341,0.000248573906112205,3.93255373562796e-07
178,"80584","Rhbdf2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.195949202620709,0.000248970025986406,3.98984374838643e-07
179,"80595","Cygb","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.195700032147701,0.000249371874861883,4.04713376114489e-07
180,"80656","Mgat5b","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.195450456961318,0.000249779452738635,4.10442377390336e-07
181,"81499","Notum","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.195200471332557,0.000250192759616663,4.16171378666183e-07
182,"81934","Mrtfb","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.194950069532417,0.000250611795495967,4.21900379942029e-07
183,"82037","Bfar","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.194699245831898,0.000251036560376547,4.27629381217876e-07
184,"82098","Pdxdc1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.194447994501997,0.000251467054258403,4.33358382493723e-07
