"crossing_rank","crossing_type"
1284,"exact_zero"
1285,"exact_zero"
1286,"exact_zero"
1287,"exact_zero"
1288,"exact_zero"
1289,"exact_zero"
1290,"exact_zero"
1291,"exact_zero"
1292,"exact_zero"
1293,"exact_zero"
1294,"exact_zero"
1295,"exact_zero"
1296,"exact_zero"
1297,"exact_zero"
1298,"exact_zero"
1299,"exact_zero"
1300,"exact_zero"
1301,"exact_zero"
1302,"exact_zero"
1303,"exact_zero"
1304,"exact_zero"
1305,"exact_zero"
1306,"exact_zero"
1307,"exact_zero"
1308,"exact_zero"
1309,"exact_zero"
1310,"exact_zero"
1311,"exact_zero"
1312,"exact_zero"
1313,"exact_zero"
1314,"exact_zero"
1315,"exact_zero"
1316,"exact_zero"
1317,"exact_zero"
1318,"exact_zero"
1319,"exact_zero"
1320,"exact_zero"
1321,"exact_zero"
1322,"exact_zero"
1323,"exact_zero"
1324,"exact_zero"
1325,"exact_zero"
1326,"exact_zero"
1327,"exact_zero"
1328,"exact_zero"
1329,"exact_zero"
1330,"exact_zero"
1331,"exact_zero"
1332,"exact_zero"
1333,"exact_zero"
1334,"exact_zero"
1335,"exact_zero"
1336,"exact_zero"
1337,"exact_zero"
1338,"exact_zero"
1339,"exact_zero"
1340,"exact_zero"
1341,"exact_zero"
1342,"exact_zero"
1343,"exact_zero"
1344,"exact_zero"
1345,"exact_zero"
1346,"exact_zero"
1347,"exact_zero"
1348,"exact_zero"
1349,"exact_zero"
1350,"exact_zero"
1351,"exact_zero"
1352,"exact_zero"
1353,"exact_zero"
1354,"exact_zero"
1355,"exact_zero"
1356,"exact_zero"
