"percentile","center_rank_trt","iod_amplitude_trt","cv2_amplitude_trt","iod_center_trt","cv2_center_trt","local_fourier_score_trt","center_rank_ctrl","iod_amplitude_ctrl","cv2_amplitude_ctrl","iod_center_ctrl","cv2_center_ctrl","local_fourier_score_ctrl","combined_center_rank","combined_iod_amplitude","combined_cv2_amplitude","combined_center_distance","combined_center_agreement","combined_fourier_score"
0.86,26577,0.0664934922560995,0.232839696715102,25301.5,26185.5,0.586934069389845,26674,0.044454801510424,0.238174119126811,27348,28168.5,0.51691495062936,26626,0.110948293766524,0.471013815841913,852.25,0.00117198945209493,0.586221105965048
0.87,26886,0.148799081685447,0.234137387775303,26886,26184.5,0.707638883449333,26984,0.298738617910383,0.198727394957,26984,28378.5,0.790640698078303,26935,0.447537699595829,0.432864782732303,346.5,0.00287769784172662,0.784249183524295
0.88,27195,0.104747440214037,0.259800226556025,28075.5,27951,0.715866527443477,27294,0.165085824258061,0.273682294458019,27633.5,26662.5,0.771287059273547,27244,0.269833264472098,0.533482521014044,547.75,0.00182232346241458,0.786017856388232
0.89,27504,0.100277536225074,0.326919922837664,26678.5,26187,0.871966816742173,27604,0.152453594551165,0.271419281767621,27529,28666.5,0.747820346487063,27554,0.25273113077624,0.598339204605285,323,0.00308641975308642,0.860550043333116
0.9,27813,0.106308186754034,0.371206898927652,28551,28379,0.995415025471394,27914,0.168518813918321,0.292061104890327,29370,28581,0.81863852787851,27864,0.274827000672355,0.663268003817979,480.5,0.00207684319833853,0.961644828052748
0.91,28122,0.0982218498276209,0.429778848955604,28728,28594,1.13248640542114,28225,0.184619178226714,0.283975399311592,27641,28527,0.823035382806894,28174,0.282841028054335,0.713754248267196,376,0.0026525198938992,1.03489171471657
0.92,28431,0.283541007525633,0.358602918406354,29808.5,28375.5,1.21098590047726,28535,0.215487139246239,0.365690068834529,27804,28535,1.05513640125045,28483,0.499028146771872,0.724292987240883,351,0.00284090909090909,1.20753650457335
0.93,28740,0.181631264877272,0.370710390168169,29829,28414,1.09631154521315,28845,0.161710815309876,0.449670130071897,28350,27430.5,1.17049415495575,28792,0.343342080187149,0.820380520240066,1167.25,0.000855981168414295,1.21852636060534
0.94,29049,0.168097790877822,0.348039581079295,29761,28667.5,1.02037506123195,29155,0.177809841138209,0.303584045068374,29943,29111,0.858353114127985,29102,0.345907632016031,0.651623626147668,962.75,0.00103761348897536,0.997317581284569
0.95,29358,0.181327770350764,0.319049963388714,29801,28825.5,0.966583546018993,29465,0.171152067320517,0.417675016545136,28375.5,28713,1.11245901134064,29412,0.352479837671281,0.736724979933851,319,0.003125,1.11681605501642
0.96,29667,0.19201354939791,0.282259192921872,29832.5,28988.5,0.889646759257021,29775,0.238089150279019,0.372232619148894,28367,28881,1.10315422406866,29721,0.430102699676929,0.654491812070766,165,0.00602409638554217,1.06783249865565
0.97,29976,0.209440637946605,0.257261586580512,29862.5,30377.5,0.85248942850776,30086,0.136640555972587,0.280668137932629,29836.5,29620.5,0.750097274389937,30031,0.346081193919193,0.537929724513142,149.5,0.00664451827242525,0.852630562856555
0.98,30285,0.234519449534835,0.386913125035297,29850.5,30214.5,1.21427913738819,30396,0.139018381544682,0.177078198547576,29761,28970.5,0.512366279951122,30340,0.373537831079517,0.563991323582872,213.25,0.00466744457409568,0.905265760931801
0.99,30594,0.26133594769049,0.370677852862844,29880,30232,1.21180979205684,30706,0.288710984857306,0.0934704440472511,29930.5,30048,0.542354018237655,30650,0.550046932547796,0.464148296910095,234.75,0.00424178154825027,0.902164576848736
1,30903,0.300697896127192,0.380979005065916,29626,30267,1.2924083056632,31016,0.0936775880202805,0.232476049975588,30085.5,30085.5,1.57322916875207,30960,0.394375484147472,0.613455055041504,320.5,0.0031104199066874,0.984429695371756
